Run,channel,Xf,Xm,Yf,Ym,Zf,Zm
1,1,9.785565,0.003408,5.692099,0.009962,9.858231,0.001362
1,2,9.543348,0.00207,5.837429,0.006078,10.85132,0.00134
1,3,10.41533,0.001847,5.352995,0.006014,8.017382,0.00127
1,4,11.263089,0.001095,5.42566,0.005484,5.667877,0.001235
1,5,10.14889,0.001076,5.038113,0.004928,12.110848,0.00116
2,1,9.833866,0.003904,5.619352,0.00712,7.871937,0.001447
2,2,9.54321,0.002806,5.76468,0.0069,9.131447,0.001372
2,3,10.4394,0.002463,5.377139,0.005789,7.968822,0.001368
2,4,9.688538,0.00219,5.934229,0.004227,9.300997,0.001261
2,5,10.730056,0.002136,6.370214,0.003972,5.692016,0.00121
3,1,9.736994,0.00259,5.44981,0.008749,7.605513,0.001167
3,2,9.882322,0.00165,5.788909,0.008247,7.823505,0.001023
3,3,9.66433,0.001505,5.595139,0.005771,11.723147,0.00097
3,4,9.567445,0.001483,5.280261,0.004387,7.266414,0.000937
3,5,10.076094,0.001343,5.934238,0.004233,7.968833,0.000933
4,1,9.85815,0.002316,5.66783,0.01681,5.66783,0.001784
4,2,9.567492,0.002228,5.377172,0.011681,11.989641,0.001287
4,3,10.754345,0.00156,5.062293,0.005482,7.653993,0.001143
4,4,10.027699,0.001509,5.813159,0.004701,8.40486,0.00113
4,5,10.439466,0.001496,6.273368,0.003728,9.301055,0.001125
5,1,9.83392,0.003412,5.667826,0.008483,5.788933,0.001137
5,2,9.543262,0.002551,5.74049,0.00747,9.373712,0.001027
5,3,10.415236,0.002375,5.352946,0.006343,7.968866,0.000977
5,4,10.730114,0.001921,5.522497,0.0052,7.508658,0.000946
5,5,10.124578,0.001825,5.934262,0.004583,11.892745,0.000918
