Run,channel,Xf,Xm,Yf,Ym,Zf,Zm
1,1,10.197411,0.000299,7.896332,0.001372,16.616209,0.00047
1,2,8.477657,0.000282,6.103913,0.000945,16.325546,0.000469
1,3,8.114329,0.000265,5.982804,0.000847,16.809984,0.000406
1,4,10.100523,0.000263,7.09701,0.000744,16.204437,0.000391
1,5,7.896332,0.00024,6.297688,0.000729,16.713097,0.000387
2,1,11.045217,0.000274,5.885938,0.000991,16.785822,0.000532
2,2,10.439667,0.000261,8.090137,0.00086,16.252939,0.000401
2,3,9.543454,0.000238,6.055491,0.000735,15.308282,0.000385
2,4,10.173225,0.000221,7.000148,0.000618,13.976074,0.000379
2,5,8.865239,0.000213,5.740606,0.00059,14.290959,0.000349
3,1,9.834252,0.000347,5.910241,0.000835,16.35005,0.000396
3,2,10.415587,0.000277,7.896469,0.000705,14.5576,0.00036
3,3,9.252917,0.000238,8.308248,0.00064,16.107828,0.000349
3,4,9.156028,0.000229,6.031352,0.000631,13.855154,0.000348
3,5,9.010695,0.000214,6.249352,0.000615,17.415831,0.000346
