Run,channel,Xf,Xm,Yf,Ym,Zf,Zm
1,1,17.585453,0.000791,5.595371,0.000349,9.204507,0.000581
1,2,5.038256,0.00038,14.678766,0.000283,15.017879,0.000365
1,3,5.28048,0.000367,8.066054,0.000275,14.266986,0.000336
1,4,5.740705,0.000318,24.65839,0.000273,14.630322,0.00033
1,5,5.425815,0.000305,22.381485,0.000272,13.903649,0.000329
2,1,17.585463,0.000658,5.522707,0.000333,9.204512,0.000579
2,2,17.512794,0.00036,18.094133,0.000255,15.163222,0.000364
2,3,17.658129,0.000354,5.135149,0.000238,8.598952,0.000352
2,4,8.114504,0.000323,10.948524,0.000231,8.502063,0.00034
2,5,5.401595,0.000302,6.491603,0.00023,15.017888,0.000281
3,1,17.464411,0.000663,21.315784,0.000287,9.156098,0.000633
3,2,5.304724,0.000443,15.550834,0.00027,7.872307,0.000409
3,3,5.595394,0.000407,21.485342,0.000262,14.993717,0.000383
3,4,6.104065,0.000398,19.886658,0.000262,15.066384,0.000348
3,5,5.910286,0.000381,15.308609,0.000241,8.162976,0.000328
