Run,channel,Xf,Xm,Yf,Ym,Zf,Zm
1,1,18.069365,0.000596,6.660959,0.000273,9.470672,0.000583
1,2,8.356475,0.00031,17.076275,0.000229,5.595205,0.000282
1,3,6.224968,0.000265,17.512266,0.000226,10.02777,0.000274
1,4,10.851307,0.000253,9.519115,0.000222,9.180012,0.000267
1,5,8.090037,0.000249,13.830572,0.000219,8.090037,0.000235
2,1,17.972536,0.000779,10.415351,0.000319,9.422259,0.00067
2,2,5.910106,0.000331,15.744135,0.000304,8.404946,0.000266
2,3,8.404946,0.00033,6.442985,0.000264,8.041619,0.0002
2,4,10.53646,0.000259,9.252707,0.00026,6.031215,0.000195
2,5,5.110788,0.000255,17.173218,0.000258,9.325372,0.000194
3,1,17.851469,0.000471,6.418778,0.000331,9.39806,0.000635
3,2,17.948357,0.00044,10.536485,0.00026,8.211191,0.000233
3,3,6.079673,0.000346,23.422485,0.000251,13.709541,0.000194
3,4,7.702534,0.000309,7.702534,0.00024,8.114305,0.000194
3,5,7.193876,0.000287,13.321992,0.000232,7.460316,0.000188
