Vibration iOSApp file: VibrationData 2022-05-01 at 10 41 18.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 10:41:18
3,  Channels
8192, Points
50.000000, Sample Rate (Hz)
-88.322309, Longitude
36.297410, Latitude
-1.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.96929947e-02,1.00636650e-02,9.98554051e-01
2.01580003e-02,2.95310467e-02,-2.02951580e-03,9.97010887e-01
4.03160006e-02,2.60984562e-02,9.03674029e-03,9.96751189e-01
6.04740009e-02,2.07503550e-02,5.78736886e-03,1.00040269e+00
8.06310028e-02,1.87582262e-02,4.89838980e-03,9.99256849e-01
1.00789003e-01,2.22367905e-02,7.73392618e-03,9.98615146e-01
1.20947003e-01,2.49338262e-02,4.65315441e-03,9.99104023e-01
1.41104996e-01,2.20835488e-02,3.91744729e-03,1.00191534e+00
1.61263004e-01,2.02293377e-02,3.48828500e-03,1.00139582e+00
1.81419507e-01,2.70332247e-02,2.56865169e-03,1.00078464e+00
2.01577500e-01,2.43208632e-02,5.84867783e-03,1.00196111e+00
2.21735507e-01,2.51483638e-02,8.48496053e-03,1.00124300e+00
2.41893500e-01,2.53322516e-02,7.61130871e-03,1.00151801e+00
2.62051493e-01,2.41829474e-02,4.88306256e-03,1.00078464e+00
2.82208502e-01,2.49951221e-02,2.13948940e-03,1.00153327e+00
3.02366495e-01,2.44894288e-02,3.87146580e-03,1.00151801e+00
3.22524488e-01,2.12100782e-02,7.28943665e-03,1.00055552e+00
3.42682511e-01,2.02140138e-02,9.28197615e-03,1.00138056e+00
3.62840503e-01,1.73484124e-02,1.09679708e-02,9.90792572e-01
3.82998496e-01,2.09035967e-02,4.68380842e-03,9.91510630e-01
4.03155506e-01,2.39684097e-02,-8.18665081e-04,9.87049341e-01
4.23313498e-01,2.85349824e-02,-1.35555891e-02,1.05858314e+00
4.43471491e-01,2.74163261e-02,1.44012691e-02,9.91525948e-01
4.63629514e-01,2.16085035e-02,7.25878263e-03,9.92137074e-01
4.83787507e-01,2.32635029e-02,2.05781404e-02,9.98844326e-01
5.03944516e-01,2.67114192e-02,1.14277871e-02,1.00260282e+00
5.24102509e-01,2.04132255e-02,-2.29007867e-03,9.97346997e-01
5.44260502e-01,1.27511909e-02,7.10551022e-03,1.00377929e+00
5.64418495e-01,2.05817912e-02,5.71073266e-03,9.99547124e-01
5.84576488e-01,2.15931796e-02,8.53094179e-03,1.00167084e+00
6.04733527e-01,2.17157714e-02,8.96010455e-03,1.00011241e+00
6.24891520e-01,2.17310954e-02,4.82175360e-03,1.00347364e+00
6.45049512e-01,1.88654941e-02,1.02060195e-03,1.00090694e+00
6.65207505e-01,1.85896624e-02,1.46950071e-04,1.00319862e+00
6.85365498e-01,2.45660488e-02,8.97984079e-04,1.00222087e+00
7.05522478e-01,2.31868830e-02,8.57692398e-03,1.00037217e+00
7.25680470e-01,2.13173460e-02,1.03702089e-02,1.00093746e+00
7.45838523e-01,2.25432720e-02,1.24853663e-02,1.00084579e+00
7.65996516e-01,1.85896624e-02,2.00110339e-02,9.99791563e-01
7.86154509e-01,2.03672536e-02,-1.41642685e-03,1.00186944e+00
8.06312501e-01,2.17770673e-02,-3.50092934e-03,1.00301540e+00
8.26469481e-01,2.10874844e-02,-2.16493972e-05,1.00069296e+00
8.46627474e-01,1.75169762e-02,1.07533894e-02,9.99669373e-01
8.66785526e-01,1.80533193e-02,1.02782454e-02,1.00012767e+00
8.86943519e-01,2.38917898e-02,8.22439790e-03,9.98844326e-01
9.07101512e-01,2.18690131e-02,-4.35484457e-04,1.00367236e+00
9.27258492e-01,2.04898473e-02,1.89425366e-03,1.00283206e+00
9.47416484e-01,2.11028084e-02,6.78363862e-03,9.99317944e-01
9.67574477e-01,2.09035967e-02,7.51934526e-03,9.98706818e-01
9.87732530e-01,2.04898473e-02,6.49242103e-03,1.00072360e+00
1.00789046e+00,2.25585960e-02,6.75298413e-03,1.00130415e+00
1.02804852e+00,2.21754946e-02,6.13989495e-03,1.00098336e+00
1.04820549e+00,2.17157714e-02,4.20866488e-03,1.00038743e+00
1.06836355e+00,1.88501701e-02,7.53467251e-03,1.00174725e+00
1.08852148e+00,1.97696146e-02,8.76085088e-03,1.00131941e+00
1.10867953e+00,2.04285495e-02,1.34247367e-03,1.00219035e+00
1.12883747e+00,3.21974345e-02,7.64196320e-03,9.99852717e-01
