Vibration iOSApp file: VibrationData 2022-05-01 at 20 02 03.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 20:02:03
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322190, Longitude
36.297369, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,4.24294412e-01,6.18850105e-02,7.80285597e-01
2.01590005e-02,3.12014937e-01,1.79659411e-01,1.34592557e+00
4.03180011e-02,1.40354723e-01,6.16408706e-01,9.98370707e-01
6.04760014e-02,-1.63582876e-01,6.27490282e-01,9.59486961e-01
8.06349963e-02,-4.57038820e-01,5.56801081e-01,1.08799422e+00
1.00792997e-01,-3.64787906e-01,2.58655936e-01,1.22771597e+00
1.20952003e-01,2.29525477e-01,1.08862959e-01,1.23205507e+00
1.41111001e-01,1.87200397e-01,1.97009832e-01,9.49510098e-01
1.61268994e-01,-3.02434266e-01,9.34437662e-02,6.98530436e-01
1.81428626e-01,-4.72638726e-01,-9.44680125e-02,5.52055657e-01
2.01586619e-01,-4.37117517e-01,6.57934546e-02,7.36925304e-01
2.21745625e-01,-3.85230213e-01,1.35608956e-01,1.12090409e+00
2.41904631e-01,-2.00927630e-01,2.00519755e-01,1.57134438e+00
2.62062639e-01,1.61961660e-01,2.01255471e-01,1.80745804e+00
2.82221615e-01,4.06748354e-01,2.33672544e-01,1.75680983e+00
3.02379638e-01,1.30562633e-01,2.73891181e-01,1.61010587e+00
3.22538614e-01,-2.18703553e-01,2.12812200e-01,1.31135046e+00
3.42697620e-01,-2.77992368e-01,1.45311102e-01,1.06118047e+00
3.62855613e-01,-7.15158656e-02,-2.23993976e-02,9.46546078e-01
3.83014619e-01,1.91460490e-01,-5.88322096e-02,8.61765742e-01
4.03173625e-01,1.84549332e-01,-1.45814210e-01,7.55534470e-01
4.23331618e-01,2.07350310e-02,-2.28320658e-01,8.00086498e-01
4.43490624e-01,-6.69339746e-02,-2.45977625e-01,8.19765210e-01
4.63648617e-01,-1.01259887e-01,-2.95515209e-01,7.54159391e-01
4.83807623e-01,1.94772205e-03,-3.71890783e-01,6.48829520e-01
5.03966630e-01,-2.28172122e-03,-4.40985918e-01,6.30800962e-01
5.24124622e-01,-2.03563377e-01,-4.21765566e-01,7.64732122e-01
5.44283628e-01,-3.01315606e-01,-4.28892732e-01,8.74828875e-01
5.64441621e-01,-3.40346009e-01,-4.97957200e-01,7.60438859e-01
5.84600627e-01,-3.50291342e-01,-4.95949328e-01,5.95156252e-01
6.04759634e-01,-4.30895954e-01,-5.81306636e-01,5.53598762e-01
6.24917626e-01,-3.85414124e-01,-4.46350425e-01,5.77692926e-01
6.45076632e-01,-9.03796732e-01,-5.94748616e-01,1.58802843e+00
6.65235639e-01,-3.46245795e-01,-4.73648220e-01,8.56204391e-01
6.85393631e-01,-3.34522873e-01,-6.10213816e-01,7.13045001e-01
7.05552638e-01,-1.14024840e-01,-5.54453373e-01,4.74578440e-01
7.25710630e-01,-4.96343337e-03,-5.86701810e-01,4.48834211e-01
7.45869637e-01,-1.20476268e-01,-5.03582299e-01,6.51350498e-01
7.66028643e-01,-2.49290407e-01,-5.02938569e-01,7.68582284e-01
7.86186635e-01,-1.72302276e-01,-4.72682595e-01,8.52690339e-01
8.06345642e-01,-8.08482245e-02,-4.86216545e-01,9.16279376e-01
8.26504648e-01,-5.34947626e-02,-4.77893859e-01,8.89190614e-01
8.46662641e-01,-9.93750244e-02,-4.90431547e-01,8.50215256e-01
8.66821647e-01,-1.24828309e-01,-4.78782833e-01,7.88963795e-01
8.86979640e-01,-1.49607331e-01,-5.13866842e-01,7.03022301e-01
9.07138646e-01,-1.49070978e-01,-5.06525099e-01,7.24335790e-01
9.27297652e-01,-1.84163108e-01,-5.14525950e-01,8.00544858e-01
9.47455645e-01,-1.58311397e-01,-4.82170165e-01,8.45646977e-01
9.67614651e-01,-1.14009514e-01,-4.94891763e-01,8.53011191e-01
9.87772644e-01,-9.85168815e-02,-4.91719037e-01,8.40498090e-01
1.00793159e+00,-8.80965143e-02,-4.83902127e-01,8.36174309e-01
1.02809060e+00,-9.03031752e-02,-4.79886413e-01,8.07970226e-01
1.04824865e+00,-1.09289698e-01,-4.60850000e-01,7.66916931e-01
1.06840765e+00,-1.48289457e-01,-4.92546707e-01,7.73532510e-01
1.08856666e+00,-2.11991608e-01,-4.71671015e-01,8.26105773e-01
1.10872459e+00,-1.57744408e-01,-4.69525188e-01,8.95607591e-01
1.12888360e+00,-1.40627429e-01,-5.00854075e-01,8.84622395e-01
1.14904165e+00,-1.23173304e-01,-4.86783653e-01,8.72032881e-01
1.16920066e+00,-1.21702194e-01,-5.00516832e-01,9.02651012e-01
1.18935907e+00,-1.68379307e-01,-5.17759979e-01,5.55890560e-01
1.20951712e+00,-1.77022085e-01,-5.02831280e-01,8.90412927e-01
1.22967613e+00,-1.91564634e-01,-4.69509870e-01,9.96231675e-01
1.24983513e+00,-1.79167464e-01,-4.90416199e-01,1.02040231e+00
1.26999307e+00,-1.22851498e-01,-5.14035463e-01,9.89784181e-01
1.29015207e+00,-7.34007284e-02,-5.11904955e-01,7.30401337e-01
1.31031013e+00,-8.17370191e-02,-5.14311373e-01,6.77079439e-01
1.33046913e+00,-2.02061623e-01,-5.14265358e-01,7.88917959e-01
1.35062814e+00,-2.26855963e-01,-5.23201168e-01,8.71437073e-01
1.37078607e+00,-2.07011297e-01,-4.97206181e-01,8.75088573e-01
1.39094508e+00,-1.76501065e-01,-5.07092237e-01,8.60574067e-01
1.41110408e+00,-1.54924780e-01,-5.14464617e-01,8.78587365e-01
1.43126214e+00,-1.72394216e-01,-5.09391308e-01,8.56387734e-01
1.45142114e+00,-1.81389451e-01,-4.96225238e-01,8.52384746e-01
1.47157907e+00,-1.87840879e-01,-5.22281528e-01,8.56066883e-01
1.49173808e+00,-1.94537506e-01,-5.07107556e-01,8.30261528e-01
1.51189709e+00,-1.66463807e-01,-5.16365230e-01,7.87298441e-01
1.53205514e+00,-1.33011356e-01,-4.97635335e-01,7.68047571e-01
1.55221415e+00,-1.27709225e-01,-4.98110473e-01,7.78650820e-01
1.57237315e+00,-1.48488671e-01,-4.83028501e-01,8.31239343e-01
1.59253109e+00,-1.92698613e-01,-4.72483367e-01,8.65432620e-01
1.61269009e+00,-2.16604158e-01,-4.72468019e-01,8.56784999e-01
1.63284814e+00,-1.83994547e-01,-4.67532665e-01,8.36220145e-01
1.65300715e+00,-2.00743750e-01,-4.98616278e-01,7.99185097e-01
1.67316616e+00,-2.37092435e-01,-5.06755054e-01,8.10796738e-01
1.69332409e+00,-2.60645539e-01,-5.06494462e-01,8.44332993e-01
1.71348310e+00,-2.79892564e-01,-5.07199526e-01,8.76662314e-01
1.73364210e+00,-2.84888208e-01,-5.16625762e-01,8.98495257e-01
1.75380015e+00,-2.53964245e-01,-5.09820461e-01,8.94308925e-01
1.77395916e+00,-1.93280920e-01,-5.10264993e-01,8.63094985e-01
1.79411817e+00,-1.57315329e-01,-4.93895501e-01,8.40161979e-01
1.81427610e+00,-1.60364822e-01,-4.84699160e-01,8.64347816e-01
1.83443511e+00,-1.94307640e-01,-4.71900910e-01,8.96768749e-01
1.85459316e+00,-2.00590506e-01,-4.70168948e-01,8.84133458e-01
1.87475216e+00,-1.79688469e-01,-4.65754718e-01,8.63263071e-01
1.89491117e+00,-1.83075100e-01,-4.95704114e-01,8.80451322e-01
1.91506910e+00,-2.00682446e-01,-4.97819245e-01,8.07007670e-01
1.93522811e+00,-2.06107169e-01,-5.03275752e-01,7.85633087e-01
1.95538616e+00,-1.64793476e-01,-5.04210711e-01,8.27098906e-01
1.97554517e+00,-1.87825561e-01,-4.93496984e-01,8.33974183e-01
1.99570417e+00,-2.16757402e-01,-4.91918266e-01,8.19306850e-01
2.01586223e+00,-2.28250459e-01,-4.82798576e-01,8.56968343e-01
2.03602123e+00,-2.35759243e-01,-4.90048349e-01,8.66288185e-01
2.05618024e+00,-2.15715364e-01,-4.87856567e-01,8.21843088e-01
2.07633805e+00,-2.22887024e-01,-4.90216941e-01,8.20101321e-01
2.09649706e+00,-1.96989357e-01,-4.80376869e-01,8.00162911e-01
2.11665511e+00,-2.05524862e-01,-4.94922400e-01,7.55962253e-01
2.13681412e+00,-2.23300785e-01,-4.99290675e-01,8.07374358e-01
2.15697312e+00,-2.46578038e-01,-5.02417445e-01,8.10460627e-01
2.17713118e+00,-2.93990701e-01,-4.74337965e-01,8.60497653e-01
2.19729018e+00,-2.69548833e-01,-4.99949753e-01,9.69035983e-01
2.21744919e+00,-2.12573931e-01,-5.33638954e-01,9.29968894e-01
2.22000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.24000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.26000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.28000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.30000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.32000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.34000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.36000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.38000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.40000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.42000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.44000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.46000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.48000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.50000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.52000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.54000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.56000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.58000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.60000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.62000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.64000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.66000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.68000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.70000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.72000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.74000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.76000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.78000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.80000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.82000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.84000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.86000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.88000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.90000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.92000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.94000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.96000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.98000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.02000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.04000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.06000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.08000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.12000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.14000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.16000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.18000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.22000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.24000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.26000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.28000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.30000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.32000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.34000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.36000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.38000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.40000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.42000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.44000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.46000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.48000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.52000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.54000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.56000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.58000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.62000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.64000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.66000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.68000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.72000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.74000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.76000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.78000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.82000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.84000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.86000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.88000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.92000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.94000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.96000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.98000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.02000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.04000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.06000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.08000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
