Vibration iOSApp file: VibrationData1500a-1.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 15:35:44
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322219, Longitude
36.297420, Latitude
0.026963, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.25826262e-02,1.25051022e-03,1.01589513e+00
2.01590005e-02,1.52336909e-02,-9.63181909e-03,9.98767912e-01
4.03169990e-02,1.74556803e-02,-4.08336380e-03,9.93603766e-01
6.04760014e-02,3.32088247e-02,-4.19065449e-03,9.95880306e-01
8.06349963e-02,2.51023918e-02,1.51107309e-03,1.00535297e+00
1.00792997e-01,2.45660488e-02,2.11605746e-02,9.91800964e-01
1.20952003e-01,2.68186871e-02,2.58200523e-02,9.91541207e-01
1.41111702e-01,2.36772522e-02,1.38341617e-02,1.00067770e+00
1.61269709e-01,1.32415611e-02,7.36607285e-03,1.00215971e+00
1.81428716e-01,1.96776707e-02,1.40180886e-02,9.89448071e-01
2.01587707e-01,1.65515598e-02,4.62249992e-03,9.98905420e-01
2.21745715e-01,1.89574398e-02,-6.41310215e-03,1.00660574e+00
2.41904706e-01,2.17464194e-02,-1.89814270e-02,1.00545990e+00
2.62063712e-01,1.71032269e-02,-1.40460599e-02,1.00133467e+00
2.82221705e-01,1.42376255e-02,1.82484034e-02,9.98691559e-01
3.02380711e-01,1.77008659e-02,2.66477223e-02,9.96735871e-01
3.22538704e-01,1.58773009e-02,2.49157455e-02,9.99165177e-01
3.42697710e-01,2.13173460e-02,2.35362947e-02,1.00009716e+00
3.62856716e-01,2.34320685e-02,1.12285335e-02,9.93649602e-01
3.83014709e-01,2.74622981e-02,-2.70895287e-02,1.00122774e+00
4.03173715e-01,2.62210481e-02,-1.86135732e-02,1.00174725e+00
4.23332721e-01,2.09035967e-02,-7.02619134e-03,1.00032628e+00
4.43490714e-01,1.53562827e-02,3.96342902e-03,9.97133136e-01
4.63649720e-01,1.81146152e-02,1.01556275e-02,9.95910823e-01
4.83808696e-01,2.52249837e-02,3.14144902e-02,9.88531351e-01
5.03966689e-01,1.79460514e-02,3.51696573e-02,9.99730468e-01
5.24125695e-01,2.20682248e-02,2.45172381e-02,9.98508215e-01
5.44284701e-01,2.14552619e-02,-1.23140840e-02,1.00665164e+00
5.64442694e-01,2.43361872e-02,-5.04175648e-02,1.01057816e+00
5.84601700e-01,2.67880391e-02,-1.63144898e-02,9.94016290e-01
6.04759693e-01,3.25039178e-02,2.30808882e-03,9.92121756e-01
6.24918699e-01,3.25345658e-02,1.02016097e-02,9.94887173e-01
6.45077705e-01,2.76461877e-02,3.41120809e-02,9.95070517e-01
6.65235698e-01,2.42442433e-02,4.84123826e-02,9.96124744e-01
6.85394704e-01,1.83598008e-02,3.59513462e-02,9.96277511e-01
7.05553710e-01,1.30576724e-02,6.58438448e-03,1.00345838e+00
7.25711703e-01,9.44119226e-03,-2.07900386e-02,1.00241947e+00
7.45870709e-01,7.24985031e-03,-3.42013612e-02,9.97178972e-01
7.66029716e-01,2.16851234e-02,-3.97498161e-02,9.99012351e-01
7.86187708e-01,2.09189206e-02,6.46176655e-03,1.00162494e+00
8.06346714e-01,1.86969303e-02,3.57674211e-02,1.00503206e+00
8.26505721e-01,1.89421158e-02,4.35536504e-02,1.00264871e+00
8.46663713e-01,2.15165596e-02,3.59360203e-02,9.98951256e-01
8.66822720e-01,2.14859117e-02,4.10859659e-02,9.94382977e-01
8.86981726e-01,3.78366932e-02,-9.82855199e-05,1.00228202e+00
9.07139719e-01,3.13852616e-02,-1.46591496e-02,1.00578070e+00
9.27298725e-01,1.63370240e-02,5.57278749e-03,1.00322926e+00
9.47456717e-01,1.17857745e-02,-3.32357474e-02,1.00956976e+00
9.67615724e-01,2.39837337e-02,-8.49804580e-02,1.00425291e+00
9.87774730e-01,3.48944701e-02,-1.15586398e-03,9.74597335e-01
1.00793266e+00,2.51636878e-02,7.39475414e-02,9.90716159e-01
1.02809167e+00,9.15003475e-03,7.27520138e-02,1.01242685e+00
1.04825068e+00,2.06584111e-02,5.61679564e-02,1.00555158e+00
1.06840873e+00,3.05884089e-02,5.66475093e-03,1.00500154e+00
1.08856773e+00,3.07569727e-02,-4.25546989e-02,9.95956659e-01
1.10872674e+00,2.69719269e-02,-3.14884409e-02,9.87416029e-01
1.12888467e+00,1.83904488e-02,-2.96491757e-02,9.96185839e-01
1.14904296e+00,4.82864724e-03,-1.36015704e-02,1.00669742e+00
1.16920197e+00,1.84670687e-02,1.57194100e-02,1.00558209e+00
1.18936002e+00,2.96689644e-02,4.20056023e-02,9.97209489e-01
1.20951903e+00,1.73024405e-02,3.78059410e-02,9.99134600e-01
1.22967803e+00,7.74022052e-03,1.92906540e-02,9.98951256e-01
1.24983597e+00,1.67507734e-02,1.15504051e-02,9.96384501e-01
1.26999497e+00,2.84736864e-02,-7.39404466e-03,9.98294294e-01
1.29015303e+00,4.26790975e-02,-4.63865064e-02,1.00549042e+00
1.31031203e+00,3.23506780e-02,-1.79851577e-02,9.98416543e-01
1.33047104e+00,2.01986898e-02,8.96010455e-03,9.98920679e-01
1.35062897e+00,1.98155865e-02,1.98117793e-02,9.99363780e-01
1.37078798e+00,3.20748426e-02,3.44339535e-02,9.96659517e-01
1.39094698e+00,2.89180838e-02,4.70635854e-02,1.00115132e+00
1.41110504e+00,2.07656790e-02,2.13138480e-02,9.96797025e-01
1.43126404e+00,1.56014683e-02,-4.57383506e-03,9.95864987e-01
1.45142305e+00,1.64442919e-02,-1.00456541e-02,9.99165177e-01
1.47158098e+00,2.08116509e-02,-1.01989266e-02,1.00017357e+00
1.49173999e+00,2.17004474e-02,-2.18016356e-02,9.94382977e-01
1.51189899e+00,1.91566516e-02,1.17803141e-02,9.97713685e-01
1.53205705e+00,1.97083186e-02,2.67856661e-02,1.00344312e+00
1.55221605e+00,2.01220680e-02,4.92904428e-03,1.00367236e+00
1.57237506e+00,5.30369347e-03,1.15657328e-02,1.00399315e+00
1.59253299e+00,2.03519296e-02,1.14431148e-02,1.00758362e+00
