Vibration iOSApp file: VibrationData1500b-3.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 15:43:15
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322220, Longitude
36.297413, Latitude
0.056359, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.73637364e-02,3.21239512e-03,1.00535297e+00
2.01580003e-02,1.25519782e-02,1.08453529e-02,1.00879061e+00
4.03160006e-02,2.02293377e-02,2.01489776e-02,9.86759007e-01
6.04749992e-02,1.45747559e-02,8.80683213e-03,1.00781274e+00
8.06329995e-02,1.33181820e-02,4.86773532e-03,1.00532234e+00
1.00791998e-01,2.05204953e-02,8.82215891e-03,9.92320418e-01
1.20949998e-01,1.92026254e-02,4.54586372e-03,1.00568902e+00
1.41109005e-01,1.59692466e-02,2.17014365e-03,1.00726271e+00
1.61266997e-01,1.75476242e-02,9.98702832e-03,9.97851193e-01
1.81426004e-01,1.63829960e-02,2.15590838e-02,9.98523474e-01
2.01583996e-01,1.97389666e-02,2.78585721e-02,1.00139582e+00
2.21742004e-01,2.01220680e-02,9.15935822e-03,1.00322926e+00
2.41900995e-01,2.18383651e-02,-8.92676692e-03,9.99256849e-01
2.62059003e-01,1.77161898e-02,-3.25569394e-03,9.97866511e-01
2.82218009e-01,1.28124878e-02,1.02935731e-02,1.00689602e+00
3.02376002e-01,1.29810525e-02,1.13204969e-02,1.00542939e+00
3.22535008e-01,1.72104947e-02,1.31137827e-02,9.97667849e-01
3.42693001e-01,1.81605872e-02,2.21261904e-02,9.95788634e-01
3.62852007e-01,1.69193372e-02,2.89927870e-02,1.00064719e+00
3.83010000e-01,1.71645228e-02,1.62098818e-02,1.00402367e+00
4.03167993e-01,1.67354494e-02,-1.26819368e-02,1.00361121e+00
4.23326999e-01,2.00148001e-02,-1.79238487e-02,9.99012351e-01
4.43484992e-01,2.01220680e-02,5.60785120e-04,1.00249588e+00
4.63643998e-01,2.14092899e-02,1.74820423e-02,1.00306118e+00
4.83801991e-01,2.06124391e-02,2.01336518e-02,1.00303066e+00
5.03961027e-01,1.69193372e-02,2.11452488e-02,9.93512154e-01
5.24119020e-01,1.31036444e-02,1.78039130e-02,1.00231254e+00
5.44278026e-01,1.41610056e-02,1.09219896e-02,1.00490987e+00
5.64436018e-01,1.65668838e-02,5.71073266e-03,9.97026205e-01
5.84595025e-01,1.57700330e-02,1.66434539e-03,1.00086105e+00
6.04753017e-01,1.61378104e-02,2.70659663e-03,1.00170135e+00
6.24911010e-01,1.85130406e-02,7.77990790e-03,9.98798490e-01
6.45070016e-01,1.86203104e-02,8.05579778e-03,1.00081527e+00
6.65228009e-01,1.79460514e-02,7.91785307e-03,1.00312233e+00
6.85387015e-01,2.04285495e-02,1.30678006e-02,9.98279035e-01
7.05545008e-01,2.01373920e-02,1.81104578e-02,1.00136530e+00
7.25704014e-01,2.07503550e-02,1.72827877e-02,1.00029576e+00
7.45862007e-01,1.84977166e-02,1.03088999e-02,1.00136530e+00
7.66021013e-01,1.59845706e-02,5.91439602e-04,1.00171661e+00
7.86179364e-01,1.58006810e-02,-2.22876971e-03,1.00087631e+00
8.06338370e-01,1.44061903e-02,2.93650501e-03,1.00176251e+00
8.26496363e-01,1.30270245e-02,1.10446066e-02,1.00118196e+00
8.46654356e-01,1.39158200e-02,1.81411114e-02,1.00135005e+00
8.66813362e-01,1.57087371e-02,1.98424347e-02,9.99042928e-01
8.86971354e-01,1.73024405e-02,1.49990311e-02,1.00173199e+00
9.07130361e-01,1.96776707e-02,6.79896586e-03,1.00249588e+00
9.27288353e-01,2.23134104e-02,4.22840123e-04,1.00189996e+00
9.47447360e-01,2.19303090e-02,1.57238194e-03,9.99592960e-01
9.67605352e-01,2.10874844e-02,5.94064128e-03,1.00419176e+00
9.87764359e-01,2.27578077e-02,1.68842804e-02,1.00148749e+00
1.00792241e+00,1.78847536e-02,1.90913994e-02,9.93328810e-01
1.02808142e+00,8.58304463e-03,9.95637383e-03,1.01187682e+00
1.04823935e+00,7.57165579e-03,8.28570686e-03,9.97805357e-01
1.06839740e+00,1.31649412e-02,9.46590304e-03,9.99104023e-01
1.08855641e+00,1.75782740e-02,4.28530062e-03,1.01004350e+00
1.10871434e+00,2.72477604e-02,1.44319236e-02,9.95559454e-01
1.12887335e+00,1.80686433e-02,1.40027618e-02,9.91663456e-01
1.14903140e+00,6.56026695e-03,6.83402934e-04,1.01892018e+00
1.16919041e+00,1.92485973e-02,4.33128234e-03,9.94826078e-01
1.18934834e+00,2.63283178e-02,9.66515671e-03,9.93007958e-01
1.20950735e+00,1.89727638e-02,1.49990311e-02,1.00807250e+00
1.22966540e+00,1.66894775e-02,2.05168314e-02,1.00092220e+00
1.24982440e+00,1.65822078e-02,1.51523035e-02,9.98095691e-01
1.26998234e+00,1.59385968e-02,3.82548408e-03,1.00625443e+00
1.29014134e+00,2.17157714e-02,2.03219871e-03,9.98141527e-01
1.31029940e+00,1.89574398e-02,5.77204162e-03,9.97270644e-01
1.33045733e+00,1.39924409e-02,9.28197615e-03,1.00341260e+00
1.35061634e+00,1.46360518e-02,1.12898424e-02,1.00133467e+00
1.37077439e+00,1.73177645e-02,1.05541358e-02,9.98233199e-01
1.39093339e+00,1.70879029e-02,1.13818059e-02,1.00183892e+00
