Vibration iOSApp file: VibrationData10-12a.csv
Source,Internal Accelerometer
Date and Time,2022-05-07 at 10:07:39
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322193, Longitude
36.297386, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.88348461e-02,4.68490049e-02,9.92824614e-01
2.01590005e-02,2.42135953e-02,5.36696203e-02,9.91205096e-01
4.03180011e-02,2.68186871e-02,2.05015056e-02,1.00449741e+00
6.04769997e-02,2.32941508e-02,-1.19155757e-02,1.01013517e+00
8.06360021e-02,1.72258187e-02,5.70875891e-02,9.87736881e-01
1.00795001e-01,1.76242460e-02,8.40832386e-03,1.00538349e+00
1.20953999e-01,2.46579926e-02,-2.60012951e-02,1.02157867e+00
1.41112998e-01,2.76308637e-02,-4.00563590e-02,1.00565851e+00
1.61272004e-01,1.75935980e-02,-1.74333770e-02,9.85139489e-01
1.81430995e-01,1.64136440e-02,-2.64151301e-02,9.98966515e-01
2.01590002e-01,2.42135953e-02,1.28072379e-02,1.00468075e+00
2.21748799e-01,3.24119739e-02,2.79352088e-02,9.97484505e-01
2.41907790e-01,2.38151699e-02,3.70855629e-02,9.97744262e-01
2.62066782e-01,2.45047528e-02,3.59973274e-02,9.94856656e-01
2.82225788e-01,3.14312316e-02,1.82330757e-02,9.96766448e-01
3.02384794e-01,1.81759112e-02,1.71032699e-03,1.00098336e+00
3.22543800e-01,1.49425333e-02,-7.94582441e-03,1.00472653e+00
3.42702806e-01,1.67660974e-02,-1.45978406e-02,9.98874843e-01
3.62861782e-01,1.99688282e-02,-1.25133377e-02,9.96017814e-01
3.83019805e-01,2.53782254e-02,-2.47904453e-02,1.00422239e+00
4.03178781e-01,2.48725303e-02,-2.72581279e-02,1.00880587e+00
4.23337787e-01,2.37079002e-02,3.08320541e-02,9.89677250e-01
4.43496794e-01,2.42135953e-02,5.32404557e-02,9.97010887e-01
4.63655800e-01,2.08729487e-02,4.43506651e-02,1.00067770e+00
4.83814806e-01,2.71864645e-02,2.53602341e-02,1.00215971e+00
5.03973782e-01,2.93931309e-02,4.01663333e-02,9.95849729e-01
5.24132788e-01,2.46273447e-02,3.61090293e-03,1.00318336e+00
5.44291794e-01,1.37166074e-02,-2.49437168e-02,1.01293111e+00
5.64450800e-01,1.72104947e-02,-4.23554443e-02,1.00587237e+00
5.84609807e-01,1.16785066e-02,-2.47291364e-02,9.97178972e-01
6.04768813e-01,1.50038293e-02,-1.01791904e-03,9.96262252e-01
6.24927819e-01,2.55621132e-02,1.94132719e-02,1.00032628e+00
6.45086765e-01,2.99754459e-02,3.60126570e-02,1.00041795e+00
6.65245771e-01,2.09955405e-02,3.59053649e-02,1.00058603e+00
6.85404778e-01,2.06584111e-02,3.06481272e-02,9.96812284e-01
7.05563784e-01,2.11028084e-02,1.18569499e-02,9.98737395e-01
7.25721776e-01,2.33401228e-02,2.03219871e-03,9.99562383e-01
7.45880783e-01,2.35393364e-02,-1.24673564e-02,1.00315285e+00
7.66039789e-01,2.01220680e-02,-1.70808509e-02,1.00510848e+00
7.86198795e-01,1.81759112e-02,1.89994369e-02,9.98431802e-01
8.06357801e-01,1.71185508e-02,1.48041861e-03,1.00518489e+00
8.26516807e-01,2.10721605e-02,9.89506487e-03,1.00466537e+00
8.46675813e-01,2.55927611e-02,2.35516224e-02,9.92289841e-01
8.66834819e-01,2.32328549e-02,1.56427752e-02,9.94169116e-01
8.86993766e-01,4.73670289e-03,-3.27759273e-02,1.00397789e+00
9.07152772e-01,2.82591488e-02,-4.99577485e-02,9.99104023e-01
9.27311778e-01,3.03278994e-02,5.86049855e-02,9.84696448e-01
9.47470784e-01,2.14246139e-02,6.26251288e-03,1.00675857e+00
9.67629790e-01,1.59539226e-02,-9.32527520e-03,1.00853086e+00
9.87788796e-01,2.34014187e-02,4.01816629e-02,9.92274582e-01
1.00794780e+00,1.82985049e-02,1.90607458e-02,9.95085835e-01
1.02810574e+00,-1.13842189e-02,2.41537928e-03,1.00480294e+00
1.04826474e+00,3.62583138e-02,-3.40787433e-02,9.94688570e-01
1.06842375e+00,3.92005369e-02,4.10553142e-02,9.91021752e-01
1.08858275e+00,1.13107283e-02,-1.50729846e-02,1.01401579e+00
1.10874176e+00,5.33434143e-03,-2.16177087e-02,1.00766003e+00
1.12890077e+00,2.12100782e-02,1.18722767e-02,9.91510630e-01
1.14905977e+00,2.11794302e-02,2.40267664e-02,9.98141527e-01
1.16921878e+00,1.49272094e-02,3.05714905e-02,1.01025736e+00
1.18937778e+00,3.20288725e-02,1.84016749e-02,1.00332093e+00
1.20953679e+00,3.27797495e-02,5.98158352e-02,9.86040950e-01
1.22969532e+00,2.01986898e-02,4.92247231e-02,1.00052500e+00
1.24985433e+00,1.14026731e-02,-1.24673564e-02,1.01942444e+00
1.27001333e+00,2.38151699e-02,-3.28678936e-02,1.00766003e+00
1.29017234e+00,2.28344295e-02,-2.87295412e-02,9.87034023e-01
1.31033039e+00,1.69806350e-02,-2.27825791e-02,9.96766448e-01
