Vibration iOSApp file: VibrationData10-12b-1.csv
Source,Internal Accelerometer
Date and Time,2022-05-07 at 10:11:09
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322214, Longitude
36.297382, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.44828111e-02,-2.78054993e-03,1.00536823e+00
2.01580003e-02,1.90340597e-02,-1.72297133e-03,9.92855132e-01
4.03160006e-02,1.54175796e-02,7.16681918e-03,1.00413072e+00
6.04740009e-02,1.45134591e-02,8.54626950e-03,1.01001287e+00
8.06320012e-02,1.77621618e-02,1.35122901e-02,9.92320418e-01
1.00790001e-01,1.28737837e-02,1.51676303e-02,9.99608219e-01
1.20948002e-01,9.91623849e-03,1.92293450e-02,1.00625443e+00
1.41105995e-01,1.32262371e-02,1.92446727e-02,9.97316480e-01
1.61264002e-01,1.62297543e-02,9.51188430e-03,9.99501288e-01
1.81421995e-01,1.68886892e-02,5.08231670e-03,1.00199163e+00
2.01580003e-01,1.70266069e-02,8.82215891e-03,1.00148749e+00
2.21737996e-01,1.62757281e-02,7.24345539e-03,1.00160968e+00
2.41896003e-01,1.62757281e-02,6.17054943e-03,1.00109029e+00
2.62053996e-01,1.69806350e-02,1.16117140e-02,1.00173199e+00
2.82211989e-01,1.60152186e-02,1.87848564e-02,1.00075412e+00
3.02370012e-01,1.48965614e-02,1.53822117e-02,1.00090694e+00
3.22528005e-01,1.19083673e-02,1.21021857e-02,9.99669373e-01
3.42685997e-01,1.17091546e-02,1.31750908e-02,1.00046384e+00
3.62843990e-01,1.51877180e-02,1.17343320e-02,1.00475705e+00
3.83002013e-01,1.68733653e-02,7.68794492e-03,9.99333203e-01
4.03160006e-01,1.62910521e-02,9.31263063e-03,9.98508215e-01
4.23317999e-01,1.50498012e-02,1.44472513e-02,9.99852717e-01
4.43475991e-01,1.56167923e-02,9.38926637e-03,1.00625443e+00
4.63633001e-01,1.67967454e-02,3.44230351e-03,1.00119722e+00
4.83790994e-01,1.87888741e-02,6.58438448e-03,9.95421946e-01
5.03948987e-01,1.69653110e-02,1.05694626e-02,1.00125837e+00
5.24106860e-01,1.26592470e-02,1.00943195e-02,1.00866842e+00
5.44264853e-01,1.44368391e-02,1.30831283e-02,9.97560918e-01
5.64422846e-01,1.78541057e-02,1.66237168e-02,9.96109486e-01
5.84580898e-01,1.61378104e-02,1.57194100e-02,1.00367236e+00
6.04738891e-01,1.59385968e-02,1.39721073e-02,1.00289309e+00
6.24896884e-01,1.72258187e-02,8.11710674e-03,9.97224808e-01
6.45054877e-01,1.48046166e-02,2.26210710e-03,1.00160968e+00
6.65212870e-01,1.20769320e-02,4.76044463e-03,1.00500154e+00
6.85370862e-01,1.33488299e-02,1.08300261e-02,9.99180436e-01
7.05528855e-01,1.26745710e-02,1.31750908e-02,9.99745727e-01
7.25686848e-01,1.70879029e-02,1.42633244e-02,1.00112081e+00
7.45844901e-01,1.62910521e-02,9.14403144e-03,1.00118196e+00
7.66002893e-01,1.69040132e-02,1.25466753e-02,9.97820675e-01
7.86160886e-01,1.73024405e-02,1.77885853e-02,1.00138056e+00
8.06318879e-01,1.56014683e-02,1.44472513e-02,1.00234306e+00
8.26476872e-01,1.50957741e-02,1.11978790e-02,1.00038743e+00
8.46634865e-01,1.67201255e-02,1.39874341e-02,9.99165177e-01
8.66792858e-01,1.48659125e-02,7.76458066e-03,1.00570440e+00
8.86950850e-01,1.50804501e-02,-2.05576100e-04,1.00368762e+00
9.07108903e-01,1.53562827e-02,3.88679304e-03,9.95116353e-01
9.27266896e-01,1.29350796e-02,1.28225647e-02,1.00102913e+00
9.47424889e-01,1.27358669e-02,2.01183241e-02,1.00639188e+00
9.67582881e-01,1.65822078e-02,2.13445015e-02,9.99486029e-01
9.87740874e-01,1.88041981e-02,1.44932326e-02,9.95941401e-01
1.00789893e+00,1.68427173e-02,8.19374342e-03,1.00429869e+00
1.02805686e+00,1.49885053e-02,7.54999975e-03,1.00165558e+00
1.04821491e+00,1.48812365e-02,5.61876921e-03,1.00034165e+00
1.06837285e+00,1.54175796e-02,6.32382184e-03,1.00153327e+00
1.08853090e+00,1.69653110e-02,1.04008634e-02,1.00098336e+00
1.10868788e+00,1.65515598e-02,1.56121198e-02,9.99470711e-01
1.12884593e+00,1.43908663e-02,1.54281929e-02,1.00093746e+00
1.14900386e+00,1.33488299e-02,1.17343320e-02,1.00261807e+00
1.16916192e+00,1.45134591e-02,1.01862820e-02,9.99134600e-01
1.18931985e+00,1.53716067e-02,1.16883507e-02,9.99394357e-01
1.20947790e+00,1.73024405e-02,9.98702832e-03,1.00359595e+00
1.22963583e+00,1.81452632e-02,4.14735591e-03,9.99302685e-01
1.24979389e+00,1.35020707e-02,7.59598147e-03,9.98890162e-01
1.26995182e+00,1.11421635e-02,1.45238871e-02,1.00257230e+00
1.29010987e+00,1.69959590e-02,1.87235475e-02,1.00559735e+00
1.31026793e+00,1.90493837e-02,1.48917409e-02,9.94459391e-01
1.33042586e+00,1.72104947e-02,1.20408768e-02,9.99974906e-01
1.35058391e+00,1.56014683e-02,3.73352063e-03,1.00790441e+00
1.37074184e+00,1.26285991e-02,2.92117777e-03,9.95666385e-01
1.39089990e+00,1.10808676e-02,1.46618318e-02,9.97423410e-01
1.41105783e+00,1.45900799e-02,1.58573557e-02,1.00755310e+00
1.43121588e+00,1.88501701e-02,7.45803630e-03,9.99379039e-01
1.45137382e+00,1.84977166e-02,1.19948946e-02,9.95712221e-01
1.47153187e+00,1.44061903e-02,1.39261251e-02,1.00270975e+00
1.49168992e+00,1.18164234e-02,1.08913351e-02,1.00495565e+00
1.51184785e+00,1.45594310e-02,1.80644765e-02,9.97240067e-01
1.53200579e+00,1.75782740e-02,1.96585078e-02,9.97606754e-01
1.55216384e+00,1.73484124e-02,9.91039257e-03,1.00798082e+00
1.57232189e+00,1.70572549e-02,3.10510444e-03,9.97148395e-01
1.59247983e+00,1.48659125e-02,1.26583746e-03,9.96262252e-01
1.61263788e+00,1.12647563e-02,3.76417511e-03,1.00535297e+00
1.63279581e+00,1.53562827e-02,1.09832976e-02,1.00364172e+00
1.65295386e+00,1.93865132e-02,1.43093057e-02,9.98905420e-01
1.67311084e+00,1.91872995e-02,1.66390445e-02,9.94994164e-01
1.69326878e+00,1.50804501e-02,2.20035724e-02,1.00516963e+00
1.71342683e+00,1.30729964e-02,1.98117793e-02,1.00391674e+00
1.73358488e+00,1.10348957e-02,7.84121733e-03,9.97255325e-01
1.75374281e+00,1.14486450e-02,-3.12866672e-04,1.00164032e+00
1.77390087e+00,1.49118854e-02,4.08604695e-03,1.00238895e+00
1.79405880e+00,1.87582262e-02,9.72646568e-03,1.00064719e+00
1.81421685e+00,1.92179494e-02,1.07533894e-02,9.98172045e-01
1.83437479e+00,1.53562827e-02,1.01249730e-02,1.00403905e+00
1.85453284e+00,1.53256347e-02,1.38035072e-02,9.99592960e-01
1.87469089e+00,1.76395699e-02,1.69609152e-02,9.98584569e-01
1.89484882e+00,1.72258187e-02,1.41866878e-02,1.00148749e+00
1.91500688e+00,1.61531344e-02,1.11212432e-02,1.00105965e+00
1.93516481e+00,1.40690608e-02,1.06001170e-02,9.99180436e-01
1.95532286e+00,1.25060063e-02,8.51561502e-03,1.00199163e+00
1.97548079e+00,1.14333211e-02,6.96756504e-03,1.00391674e+00
1.99563885e+00,1.39464689e-02,8.02514330e-03,9.99699891e-01
2.01579690e+00,1.67814214e-02,1.01096462e-02,1.00105965e+00
2.03595495e+00,1.61837824e-02,1.55814653e-02,1.00150275e+00
2.05611277e+00,1.61378104e-02,1.66237168e-02,1.00058603e+00
2.07627082e+00,1.64749399e-02,1.33436909e-02,1.00167084e+00
2.09642887e+00,1.80073474e-02,9.06739477e-03,1.00073886e+00
2.11658692e+00,1.96623467e-02,8.88346788e-03,1.00047910e+00
2.13674474e+00,1.81146152e-02,1.04928268e-02,9.99272108e-01
