Vibration iOSApp file: VibrationData13-15a-1.csv
Source,Internal Accelerometer
Date and Time,2022-05-07 at 15:44:52
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322199, Longitude
36.297380, Latitude
0.071347, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,2.40910035e-02,1.46771595e-02,1.00003600e+00
2.01580003e-02,1.63829960e-02,4.02582958e-02,9.98294294e-01
4.03169990e-02,1.93252172e-02,4.73548025e-02,9.94994164e-01
6.04760014e-02,3.52316014e-02,2.64331400e-02,1.00185418e+00
8.06339979e-02,2.66194735e-02,2.33874330e-03,1.00740027e+00
1.00792997e-01,1.73790604e-02,-5.67739550e-03,1.00402367e+00
1.20952003e-01,2.49644741e-02,-6.25982974e-03,1.00075412e+00
1.41111001e-01,2.80599371e-02,-6.04524883e-03,1.00277090e+00
1.61268994e-01,1.88501701e-02,-3.75120416e-02,1.00264871e+00
1.81428000e-01,2.27731336e-02,2.31990963e-02,9.90609229e-01
2.01587006e-01,2.64355857e-02,3.92160453e-02,1.00301540e+00
2.21745998e-01,2.69566029e-02,7.23075271e-02,1.00188470e+00
2.41904005e-01,2.58072987e-02,2.54521985e-02,1.00701833e+00
2.62062997e-01,1.67660974e-02,-9.70845576e-03,1.00202227e+00
2.82222003e-01,1.63983200e-02,-2.42846459e-02,9.99317944e-01
3.02381009e-01,2.23747063e-02,-2.34263223e-02,1.00400841e+00
3.22539002e-01,2.36006323e-02,-1.25286644e-02,1.00533772e+00
3.42698008e-01,2.03825776e-02,7.62663595e-03,1.00212920e+00
3.62857014e-01,1.71798468e-02,2.40420941e-02,9.99424875e-01
3.83015990e-01,2.06584111e-02,3.07707451e-02,9.96552527e-01
4.03174013e-01,2.39071138e-02,2.80271713e-02,9.96246994e-01
4.23332989e-01,2.41216514e-02,1.70068983e-02,1.00005126e+00
4.43491995e-01,1.92639213e-02,8.46963283e-03,1.00121248e+00
4.63651240e-01,1.46820238e-02,-2.25942419e-03,1.00475705e+00
4.83809263e-01,2.11641062e-02,-1.23294108e-02,1.00206804e+00
5.03968239e-01,2.41216514e-02,-1.24980109e-02,1.00292373e+00
5.24127245e-01,2.40297057e-02,5.37353382e-03,1.00139582e+00
5.44286251e-01,2.12100782e-02,2.24480629e-02,9.98202622e-01
5.64444244e-01,1.88195221e-02,2.61725783e-02,9.99195695e-01
5.84603250e-01,1.98155865e-02,2.18962822e-02,9.99974906e-01
6.04762256e-01,2.15472076e-02,1.04008634e-02,1.00212920e+00
6.24921262e-01,2.03366056e-02,1.02060195e-03,1.00272501e+00
6.45080268e-01,1.84210967e-02,-6.76562823e-03,1.00280142e+00
6.65238261e-01,1.98155865e-02,-1.56969915e-03,1.00270975e+00
6.85397267e-01,2.07197070e-02,5.45017002e-03,1.00034165e+00
7.05556273e-01,2.35393364e-02,1.43706147e-02,9.99409616e-01
7.25715280e-01,2.31868830e-02,2.27546059e-02,1.00109029e+00
7.45873272e-01,2.17923932e-02,4.11319509e-02,9.99119341e-01
7.66032279e-01,2.14092899e-02,-1.49306294e-03,1.00443625e+00
7.86191225e-01,1.97849385e-02,-1.27432458e-02,9.99088764e-01
8.06350231e-01,1.22761447e-02,-2.92506665e-02,9.97713685e-01
8.26508224e-01,3.29483151e-02,3.29625383e-02,9.93450999e-01
8.46667230e-01,2.64509097e-02,1.07840439e-02,9.97240067e-01
8.66826236e-01,1.96929947e-02,2.22641360e-02,9.88668859e-01
8.86985242e-01,2.03825776e-02,4.57147881e-02,1.06776559e+00
9.07143235e-01,1.97236426e-02,-3.35116349e-02,9.38249826e-01
9.27302241e-01,1.21842008e-02,7.19856545e-02,9.77301657e-01
9.47461247e-01,1.44981351e-02,-2.13571470e-02,1.02613163e+00
9.67620254e-01,6.69818372e-03,3.56492121e-03,1.00182366e+00
9.87779260e-01,1.16938306e-02,3.05868182e-02,9.88164663e-01
1.00793719e+00,1.38085522e-02,2.47668824e-03,1.01597154e+00
1.02809620e+00,2.00914200e-02,1.23320939e-02,1.00545990e+00
1.04825521e+00,2.79066954e-02,-3.35269645e-02,1.01034904e+00
1.06841421e+00,2.47805864e-02,7.12083746e-03,9.93175983e-01
1.08857226e+00,1.94937810e-02,4.22201827e-02,1.00138056e+00
1.10873127e+00,2.38917898e-02,3.50163877e-02,1.00109029e+00
1.12889028e+00,2.37079002e-02,1.71601698e-02,1.00651407e+00
1.14904928e+00,2.07963269e-02,-4.04830032e-04,1.00325978e+00
1.16920829e+00,1.85590144e-02,-9.38658416e-03,9.99730468e-01
1.18936622e+00,1.40384128e-02,2.36939779e-03,9.98110950e-01
1.20952523e+00,1.80533193e-02,1.13818059e-02,1.00047910e+00
1.22968423e+00,2.29876693e-02,1.23320939e-02,1.00263333e+00
1.24984324e+00,2.83051226e-02,1.23014394e-02,1.00487936e+00
1.27000129e+00,2.68340111e-02,3.85613856e-03,1.00057077e+00
1.29016030e+00,2.39684097e-02,9.80310142e-03,9.96659517e-01
1.31031930e+00,2.26352159e-02,1.17036775e-02,9.98538733e-01
1.33047819e+00,2.23287344e-02,1.07840439e-02,1.00370288e+00
1.35063720e+00,2.51943357e-02,2.44603376e-03,1.00469601e+00
1.37079525e+00,2.34320685e-02,4.46922751e-03,1.00220561e+00
1.39095426e+00,2.01680418e-02,8.40832386e-03,1.00075412e+00
1.41111326e+00,1.71645228e-02,1.02935731e-02,9.99424875e-01
1.43127227e+00,1.82218850e-02,8.80683213e-03,1.00147223e+00
1.45143127e+00,2.22674385e-02,8.94477684e-03,1.00243473e+00
1.47158909e+00,2.33860947e-02,1.54128661e-02,9.99699891e-01
1.49174809e+00,2.17617434e-02,1.72061510e-02,1.00070834e+00
1.51190710e+00,2.07963269e-02,1.23014394e-02,1.00164032e+00
1.53206611e+00,2.04438735e-02,-3.89502791e-04,1.00416124e+00
1.55222416e+00,1.97696146e-02,-2.88061779e-02,1.00277090e+00
1.57238317e+00,2.27731336e-02,1.38188349e-02,9.94321883e-01
1.59254217e+00,2.21601706e-02,2.50230357e-02,1.00119722e+00
1.61270118e+00,1.72564685e-02,7.14057416e-04,1.00165558e+00
