Vibration iOSApp file: VibrationData500.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 14:28:09
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322239, Longitude
36.297433, Latitude
0.090219, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,2.21908186e-02,2.85986881e-03,1.00112081e+00
2.01590005e-02,2.47346144e-02,-1.28045548e-02,1.00203753e+00
4.03169990e-02,1.66281816e-02,2.93650501e-03,9.98279035e-01
6.04760014e-02,1.47433206e-02,1.44319236e-02,9.98126209e-01
8.06349963e-02,1.42069776e-02,1.57040842e-02,1.00182366e+00
1.00792997e-01,1.98768843e-02,4.37726406e-03,1.00231254e+00
1.20952003e-01,1.97389666e-02,6.95223780e-03,9.96644199e-01
1.41110003e-01,1.18470713e-02,1.54435206e-02,9.97744262e-01
1.61268994e-01,1.45747559e-02,6.98289229e-03,9.99195695e-01
1.81427002e-01,2.15012357e-02,-3.05644004e-03,1.00110555e+00
2.01585993e-01,2.29110494e-02,-7.11815432e-03,1.00397789e+00
2.21744001e-01,2.25739200e-02,4.43857303e-03,1.00249588e+00
2.41903007e-01,2.11487822e-02,1.34203266e-02,9.99256849e-01
2.62062013e-01,2.00148001e-02,9.69581120e-03,9.97988701e-01
2.82220006e-01,2.06890590e-02,6.46176655e-03,9.99455452e-01
3.02379012e-01,1.46666998e-02,1.04928268e-02,9.99806881e-01
3.22537005e-01,1.94018371e-02,1.09526441e-02,9.96903956e-01
3.42696011e-01,1.84977166e-02,6.26251288e-03,1.00162494e+00
3.62854004e-01,2.39530858e-02,2.55332445e-03,1.00055552e+00
3.83013010e-01,1.98922083e-02,-5.15626976e-03,9.99547124e-01
4.03171003e-01,1.98615603e-02,-3.65420175e-03,9.97178972e-01
4.23330009e-01,2.41216514e-02,2.51916349e-02,9.96934533e-01
4.43488985e-01,2.29570214e-02,1.00943195e-02,1.00186944e+00
4.63647008e-01,1.94324851e-02,1.49574585e-03,1.00093746e+00
4.83806014e-01,1.53103108e-02,-8.48227739e-03,9.97774839e-01
5.03964007e-01,1.81146152e-02,4.11670143e-03,9.95712221e-01
5.24123013e-01,2.49644741e-02,6.10924046e-03,9.99867976e-01
5.44281006e-01,2.04132255e-02,1.38494894e-02,1.00428343e+00
5.64440012e-01,1.61684584e-02,5.48082450e-03,1.00490987e+00
5.84598780e-01,1.36399874e-02,6.61503896e-03,9.96995628e-01
6.04757726e-01,1.42529504e-02,7.77990790e-03,9.94551063e-01
6.24916732e-01,1.62910521e-02,9.13311320e-04,1.00038743e+00
6.45074725e-01,1.77315138e-02,-2.59662326e-03,1.00358069e+00
6.65233731e-01,1.36093395e-02,2.23586205e-04,9.99211013e-01
6.85391724e-01,1.64902639e-02,-7.26701750e-04,1.00150275e+00
7.05550730e-01,1.82985049e-02,4.79109911e-03,9.97958183e-01
7.25708723e-01,2.18383651e-02,9.29730292e-03,9.99761045e-01
7.45867729e-01,2.26811878e-02,1.55661386e-02,9.98691559e-01
7.66025722e-01,1.95550788e-02,1.50603401e-02,9.99455452e-01
7.86184728e-01,1.99994761e-02,3.67221190e-03,1.00023460e+00
8.06342721e-01,2.33094748e-02,-3.51625658e-03,9.99149859e-01
8.26501727e-01,2.74163261e-02,-1.62071995e-02,1.00020409e+00
8.46660733e-01,2.52556317e-02,-9.15667508e-03,9.92427349e-01
8.66818726e-01,2.33707707e-02,2.62996042e-03,9.95513618e-01
8.86977732e-01,2.40297057e-02,2.17123553e-02,9.98019278e-01
9.07135725e-01,2.66654473e-02,1.91527084e-02,1.00167084e+00
9.27294731e-01,2.53169276e-02,1.06614260e-02,1.00338197e+00
9.47452724e-01,2.38304939e-02,8.60757846e-03,9.97560918e-01
9.67611730e-01,1.63676720e-02,2.30808882e-03,9.95223343e-01
9.87770736e-01,1.98615603e-02,-1.86091638e-03,9.96766448e-01
1.00792873e+00,2.54088733e-02,-9.61649232e-03,1.00226665e+00
1.02808774e+00,2.42902152e-02,-3.59289278e-03,1.00267923e+00
1.04824579e+00,2.08116509e-02,5.72605990e-03,9.98844326e-01
1.06840479e+00,1.91566516e-02,9.31263063e-03,9.97744262e-01
1.08856273e+00,2.06124391e-02,8.85281339e-03,9.98722076e-01
1.10872173e+00,2.05511432e-02,2.03482322e-02,1.00252640e+00
1.12887979e+00,2.16851234e-02,-7.88010657e-04,1.00322926e+00
1.14903879e+00,1.91872995e-02,4.84149030e-04,9.99516547e-01
1.16919780e+00,1.84210967e-02,1.29451826e-02,9.97056723e-01
1.18935573e+00,1.81299392e-02,7.15149194e-03,9.98645723e-01
1.20951474e+00,1.98922083e-02,-3.51625658e-03,1.00186944e+00
1.22967279e+00,2.54548453e-02,-3.73083772e-03,1.00292373e+00
1.24983180e+00,2.14246139e-02,6.00194978e-03,1.00080001e+00
1.26998973e+00,1.71491988e-02,2.14824472e-02,9.91082847e-01
1.29014874e+00,1.95244309e-02,1.77732594e-02,9.96919215e-01
1.31030679e+00,2.53629014e-02,6.78363862e-03,1.00316811e+00
1.33046579e+00,2.48572063e-02,-3.91476462e-03,1.00416124e+00
1.35062480e+00,1.77928098e-02,-7.07217306e-03,9.99944389e-01
1.37078273e+00,1.70266069e-02,1.74098148e-03,9.96644199e-01
1.39094174e+00,1.80992913e-02,2.27743434e-03,9.96797025e-01
1.41109979e+00,1.86356343e-02,9.15935822e-03,9.99898553e-01
1.43125880e+00,2.50410959e-02,2.50734272e-03,1.00156391e+00
1.45141673e+00,2.36466043e-02,1.51369758e-02,9.98019278e-01
1.47157574e+00,1.68273933e-02,7.53467251e-03,9.98065114e-01
1.49173474e+00,1.37932282e-02,4.37726406e-03,9.99058187e-01
1.51189280e+00,2.05817912e-02,5.40418830e-03,9.98599887e-01
1.53205180e+00,2.39224378e-02,2.82921433e-03,1.00061667e+00
1.55220973e+00,2.23134104e-02,2.67594215e-03,9.99684632e-01
1.57236874e+00,2.07350310e-02,4.89838980e-03,9.98981833e-01
1.59252703e+00,2.76768357e-02,2.64528766e-03,9.96995628e-01
1.61268604e+00,2.35853083e-02,5.72605990e-03,1.00018883e+00
1.63284397e+00,2.50410959e-02,9.37393960e-03,9.97285903e-01
1.65300298e+00,2.55161412e-02,1.01556275e-02,9.97209489e-01
1.67316198e+00,2.03979015e-02,7.99448881e-03,9.98554051e-01
1.69332004e+00,1.58313289e-02,3.39632179e-03,9.98935997e-01
1.71347904e+00,1.65975336e-02,1.92490814e-03,9.99363780e-01
1.73363698e+00,1.78387817e-02,3.58024845e-03,9.99149859e-01
1.75379598e+00,2.14246139e-02,1.71601698e-02,9.99730468e-01
1.77395403e+00,2.68033631e-02,-6.75030099e-03,1.00154865e+00
1.79411304e+00,2.59605385e-02,-3.47027509e-03,1.00081527e+00
1.81427097e+00,1.93252172e-02,6.17054943e-03,1.00264871e+00
1.83442998e+00,1.84364207e-02,-1.02449087e-02,1.00133467e+00
1.85458899e+00,1.82218850e-02,7.33541837e-03,9.96751189e-01
1.87474704e+00,2.30642892e-02,2.55594887e-02,9.94520485e-01
1.89490604e+00,2.11181324e-02,1.72214787e-02,9.99104023e-01
