Vibration iOSApp file: VibrationData500a-5.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 14:32:46
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322236, Longitude
36.297394, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,2.76155379e-02,-4.16000001e-03,1.00038743e+00
2.01590005e-02,2.11641062e-02,7.90693506e-04,9.98279035e-01
4.03180011e-02,2.15625316e-02,1.21985585e-03,9.98340130e-01
6.04760833e-02,1.95550788e-02,6.84494758e-03,1.00153327e+00
8.06350857e-02,1.93252172e-02,9.75712016e-03,1.00109029e+00
1.00793086e-01,2.13326700e-02,1.72981154e-02,1.00063193e+00
1.20952085e-01,2.33860947e-02,1.45698683e-02,1.00038743e+00
1.41111076e-01,1.99535042e-02,4.83708084e-03,1.00055552e+00
1.61269084e-01,1.66128576e-02,-1.24782743e-03,1.00096798e+00
1.81428090e-01,1.97696146e-02,-6.93422789e-03,1.00078464e+00
2.01587081e-01,2.32941508e-02,5.83335059e-03,9.98981833e-01
2.21745089e-01,2.14859117e-02,1.37421982e-02,1.00076938e+00
2.41904080e-01,2.17157714e-02,1.53668839e-02,1.00238895e+00
2.62063086e-01,2.26965118e-02,-5.72337722e-03,1.00154865e+00
2.82221079e-01,2.09495686e-02,1.12789252e-03,1.00034165e+00
3.02380085e-01,2.26352159e-02,9.83375590e-03,1.00023460e+00
3.22538078e-01,2.31562350e-02,1.35429446e-02,9.98324871e-01
3.42697084e-01,2.18690131e-02,1.39721073e-02,9.98080373e-01
3.62856090e-01,2.02293377e-02,1.33130364e-02,1.00122774e+00
3.83014083e-01,1.46513758e-02,-1.15323951e-02,1.00356531e+00
4.03173089e-01,1.45441070e-02,-2.44335085e-03,1.00159442e+00
4.23332095e-01,1.89267918e-02,3.68753914e-03,1.00257230e+00
4.43490088e-01,2.02599857e-02,1.38494894e-02,9.99241531e-01
4.63649094e-01,1.65209118e-02,1.42633244e-02,9.98890162e-01
4.83808070e-01,1.90800317e-02,5.94064128e-03,9.99791563e-01
5.03966093e-01,2.45200768e-02,1.46509137e-03,1.00066245e+00
5.24125099e-01,2.09495686e-02,4.97502601e-03,1.00110555e+00
5.44283092e-01,1.48965614e-02,7.61130871e-03,1.00269449e+00
5.64442098e-01,6.82077603e-03,8.69954191e-03,1.00231254e+00
5.84601104e-01,4.78267483e-03,6.07858598e-03,1.00228202e+00
6.04759097e-01,1.90340597e-02,3.16641340e-03,1.00512373e+00
6.24918103e-01,3.82504426e-02,7.29384599e-04,1.00202227e+00
6.45077109e-01,3.30555849e-02,6.53840275e-03,9.99424875e-01
6.65235102e-01,2.64662337e-02,7.24345539e-03,9.98752654e-01
6.85394108e-01,1.78234577e-02,6.72232965e-03,9.99852717e-01
7.05553055e-01,2.75389180e-02,9.74620227e-04,1.00002074e+00
7.25711107e-01,2.47192904e-02,2.12416216e-03,9.99363780e-01
7.45870054e-01,2.49491502e-02,8.06020747e-04,9.99822140e-01
