Vibration iOSApp file: VibrationData500b-1.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 14:33:58
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322215, Longitude
36.297387, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.87429022e-02,6.23185840e-03,9.98508215e-01
2.01590005e-02,1.60458665e-02,8.10177997e-03,1.00202227e+00
4.03180011e-02,1.74403563e-02,1.20715313e-02,9.99654055e-01
6.04760014e-02,1.83751248e-02,1.23320939e-02,9.97530341e-01
8.06349963e-02,1.79307275e-02,1.04315178e-02,1.00105965e+00
1.00792997e-01,1.58313289e-02,7.87187181e-03,1.00255704e+00
1.20952003e-01,1.69346631e-02,1.18722767e-02,9.95880306e-01
1.41111001e-01,1.67967454e-02,8.56159627e-03,1.00258756e+00
1.61269128e-01,1.62910521e-02,4.62249992e-03,1.00293899e+00
1.81428120e-01,2.01680418e-02,8.74552317e-03,9.96445596e-01
2.01586127e-01,1.86049864e-02,1.22094760e-02,9.99379039e-01
2.21745118e-01,1.58160049e-02,1.15810595e-02,1.00322926e+00
2.41903126e-01,1.68120693e-02,1.06920805e-02,1.00008190e+00
2.62062132e-01,2.00148001e-02,8.07112549e-03,9.97163653e-01
2.82221138e-01,1.93711892e-02,8.53094179e-03,1.00203753e+00
3.02379131e-01,1.84210967e-02,1.08146984e-02,9.99333203e-01
3.22538137e-01,1.71185508e-02,8.73019639e-03,1.00107503e+00
3.42696130e-01,1.78234577e-02,5.89465955e-03,1.00083053e+00
3.62855136e-01,1.68733653e-02,6.50774827e-03,9.99699891e-01
3.83014113e-01,1.63523480e-02,8.99075903e-03,1.00070834e+00
4.03172135e-01,1.67660974e-02,1.17190052e-02,1.00023460e+00
4.23331112e-01,1.76702179e-02,1.52595937e-02,9.99073505e-01
4.43489134e-01,1.63063761e-02,1.08760074e-02,1.00014293e+00
4.63648111e-01,1.74710043e-02,6.24718564e-03,1.00098336e+00
4.83806133e-01,1.92792453e-02,4.74511739e-03,9.98309553e-01
5.03965139e-01,1.67814214e-02,6.89092884e-03,1.00138056e+00
5.24124146e-01,1.63983200e-02,1.04315178e-02,1.00162494e+00
5.44282138e-01,1.88654941e-02,1.29451826e-02,9.98660982e-01
5.64441144e-01,1.71185508e-02,1.08453529e-02,9.99699891e-01
