Vibration iOSApp file: VibrationDatab-3.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 20:32:41
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322217, Longitude
36.297369, Latitude
0.027051, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,1.76548939e-02,5.22026140e-03,9.96170580e-01
2.01590005e-02,1.91413276e-02,-9.82855199e-05,1.00477242e+00
4.03180011e-02,2.58226227e-02,1.22248037e-02,9.99348521e-01
6.04780018e-02,2.89793815e-02,1.04468456e-02,9.98798490e-01
8.06370005e-02,2.13633180e-02,-1.56969915e-03,1.00251114e+00
1.00795999e-01,1.87888741e-02,4.13202867e-03,9.98492897e-01
1.20954998e-01,1.54788755e-02,1.23780752e-02,1.00162494e+00
1.41113997e-01,1.25213303e-02,1.21941492e-02,1.00329030e+00
1.61273003e-01,1.31036444e-02,1.48151042e-02,9.98615146e-01
1.81432381e-01,1.72871165e-02,1.62098818e-02,9.96949792e-01
2.01591372e-01,1.94937810e-02,1.11978790e-02,1.00281668e+00
2.21750379e-01,1.96470227e-02,7.27410987e-03,9.99577701e-01
2.41909370e-01,2.01680418e-02,4.85240808e-03,9.98294294e-01
2.62068361e-01,1.71798468e-02,4.53494577e-04,1.00633073e+00
2.82227367e-01,1.83598008e-02,4.37726406e-03,1.00014293e+00
3.02386373e-01,1.83904488e-02,7.68794492e-03,9.97346997e-01
3.22545379e-01,1.68427173e-02,9.92571935e-03,1.00501680e+00
3.42704386e-01,1.74556803e-02,1.06154447e-02,1.00223613e+00
3.62863362e-01,2.03059576e-02,9.57319327e-03,9.97377574e-01
3.83022368e-01,2.08116509e-02,1.41253788e-02,1.00089169e+00
4.03181374e-01,2.15012357e-02,2.14671195e-02,1.00095272e+00
4.23340380e-01,2.10108645e-02,1.37115438e-02,9.98599887e-01
4.43499386e-01,1.92639213e-02,2.72192387e-03,1.00069296e+00
4.63658363e-01,1.91719756e-02,3.36566730e-03,1.00081527e+00
4.83817369e-01,1.60611905e-02,1.95556250e-03,9.99058187e-01
5.03976405e-01,1.28584597e-02,-7.57356174e-04,1.00292373e+00
5.24135351e-01,1.33488299e-02,6.76831137e-03,1.00011241e+00
5.44294357e-01,1.41610056e-02,1.49223944e-02,9.98324871e-01
5.64453363e-01,1.23680895e-02,1.60719361e-02,1.00057077e+00
5.84612370e-01,1.46973478e-02,1.98117793e-02,9.99837399e-01
6.04771376e-01,1.89574398e-02,1.77732594e-02,9.98737395e-01
6.24930382e-01,2.27731336e-02,5.22026140e-03,1.00105965e+00
6.45090401e-01,2.54854932e-02,3.46204004e-04,9.99317944e-01
6.65249348e-01,2.51177158e-02,3.94810177e-03,9.98447061e-01
6.85408354e-01,2.19762810e-02,4.79109911e-03,1.00561273e+00
7.05567360e-01,2.09342446e-02,2.36939779e-03,1.00081527e+00
7.25726366e-01,2.03519296e-02,6.81429310e-03,9.99562383e-01
