Vibration iOSApp file: VibrationDatafeeta-1.csv
Source,Internal Accelerometer
Date and Time,2022-05-01 at 20:24:54
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322171, Longitude
36.297356, Latitude
0.022856, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,2.88108159e-02,6.38928786e-02,9.97576177e-01
2.01600008e-02,3.95529903e-02,3.79438885e-02,1.00199163e+00
4.03189994e-02,2.50564199e-02,1.47384685e-02,9.93389904e-01
6.04790002e-02,1.98922083e-02,-1.72494501e-02,9.99791563e-01
8.06389973e-02,1.52183659e-02,-5.23947775e-02,1.00921845e+00
1.00799002e-01,2.99141500e-02,-5.46172261e-02,1.01076150e+00
1.20958999e-01,2.15012357e-02,-2.05294769e-02,1.00866842e+00
1.41119003e-01,2.72630844e-02,5.38886106e-03,1.00426817e+00
1.61277995e-01,2.89947055e-02,2.76899729e-02,9.93512154e-01
1.81437999e-01,4.65560891e-02,4.61132973e-02,9.95299697e-01
2.01598004e-01,3.71777564e-02,5.19069880e-02,9.97927606e-01
2.21757993e-01,2.89947055e-02,3.69476154e-02,9.93619084e-01
2.41917998e-01,1.62604023e-02,1.34509811e-02,9.91846740e-01
2.62077004e-01,1.74556803e-02,-1.12105235e-02,1.00927949e+00
2.82236993e-01,1.50038293e-02,-2.92659942e-02,1.00608635e+00
3.02397013e-01,9.48716421e-03,-3.23620923e-02,1.00691140e+00
3.22557002e-01,1.32722091e-02,-1.85829196e-02,1.00005126e+00
3.42716992e-01,2.14092899e-02,-9.10628412e-04,9.97484505e-01
3.62875998e-01,3.06343809e-02,1.81411114e-02,9.99042928e-01
3.83035988e-01,2.93471590e-02,4.77073304e-02,9.98370707e-01
4.03196007e-01,2.92398892e-02,2.28465702e-02,9.80785131e-01
4.23355997e-01,2.48878542e-02,8.57648253e-02,9.71618056e-01
4.43515986e-01,6.85142446e-03,2.42873300e-02,1.02474129e+00
4.63676006e-01,9.34924744e-03,-1.42146600e-02,1.03911841e+00
4.83835012e-01,2.29263734e-02,-3.59946452e-02,1.00432932e+00
5.03995001e-01,2.47805864e-02,-4.04855236e-02,9.74994600e-01
5.24155021e-01,3.23966481e-02,-1.15937041e-02,9.56079841e-01
5.44314981e-01,3.06956768e-02,-2.84185866e-03,1.00380981e+00
5.64475000e-01,2.06584111e-02,2.50383634e-02,1.04616177e+00
5.84634006e-01,5.47225820e-03,3.15064527e-02,9.98676240e-01
6.04794025e-01,-9.16222855e-03,3.10772900e-02,9.82129633e-01
6.24953985e-01,-8.85574706e-03,2.23101173e-02,9.90410566e-01
6.45114005e-01,6.10054517e-03,7.62663595e-03,1.00990593e+00
6.65274024e-01,3.58445644e-02,7.14057416e-04,1.02692616e+00
6.85432971e-01,5.53674288e-02,-6.94955513e-03,9.90838408e-01
7.05592990e-01,6.05163164e-02,-5.64674102e-03,9.87141013e-01
7.25753009e-01,7.11052492e-02,2.96825133e-02,9.93252397e-01
7.45913029e-01,3.75915095e-02,1.11365700e-02,1.00681973e+00
7.66072989e-01,7.78619247e-03,1.06001170e-02,1.01722431e+00
7.86233008e-01,8.16929433e-03,-3.68485623e-03,9.95681643e-01
8.06392014e-01,9.88559052e-03,1.18920137e-03,9.82374132e-01
8.26552272e-01,7.60230375e-03,-1.90274082e-02,9.98737395e-01
8.46712232e-01,2.43055392e-02,-1.10112699e-02,1.02385521e+00
8.66872251e-01,3.30709070e-02,9.92571935e-03,1.00729334e+00
8.87032270e-01,2.99907699e-02,2.27239523e-02,9.77485001e-01
9.07191277e-01,1.90340597e-02,3.35449725e-02,9.92473185e-01
9.27351236e-01,1.61684584e-02,-6.48973836e-03,1.01543677e+00
9.47511256e-01,1.47279957e-02,6.68075751e-04,9.97224808e-01
9.67671275e-01,2.18077172e-02,2.27743434e-03,9.85047817e-01
9.87831235e-01,3.22127603e-02,8.65355972e-03,9.90349472e-01
1.00799119e+00,3.88940535e-02,9.05206800e-03,1.00888228e+00
1.02815020e+00,4.39509973e-02,4.12852205e-02,9.99547124e-01
1.04831028e+00,3.96296084e-02,2.23867539e-02,9.97255325e-01
1.06847024e+00,2.26965118e-02,-3.73083772e-03,1.00964618e+00
1.08863020e+00,1.69346631e-02,-1.70808509e-02,1.00487936e+00
1.10879028e+00,2.48265583e-02,-3.49064134e-02,9.93603766e-01
1.12894928e+00,1.98922083e-02,-7.05684582e-03,9.89035547e-01
1.14910924e+00,1.32722091e-02,1.78958774e-02,1.00112081e+00
1.16926920e+00,1.50038293e-02,3.87102477e-02,1.01245749e+00
1.18942928e+00,1.97696146e-02,4.08407338e-02,1.00078464e+00
1.20958924e+00,2.28191055e-02,3.43113355e-02,9.92977381e-01
1.22974825e+00,3.00060939e-02,1.90913994e-02,9.95788634e-01
1.24990821e+00,2.48418823e-02,8.53094179e-03,9.91128683e-01
1.27006829e+00,2.22367905e-02,-4.81466152e-04,9.99348521e-01
1.29022825e+00,3.07263248e-02,-1.78931933e-02,1.01086843e+00
1.31038821e+00,3.82351205e-02,-4.37502228e-02,1.00251114e+00
1.33054829e+00,3.59211862e-02,-2.08053663e-02,9.91143942e-01
1.35070729e+00,2.72477604e-02,1.32363997e-02,9.95131671e-01
1.37086725e+00,2.54701693e-02,3.13225240e-02,1.00770581e+00
1.39102721e+00,1.99688282e-02,3.40967514e-02,1.00526130e+00
1.41118729e+00,1.93711892e-02,5.53556159e-02,9.93130147e-01
1.43134725e+00,3.08795664e-02,2.85636242e-02,9.92900968e-01
1.45150626e+00,2.57000308e-02,3.16641340e-03,1.00465012e+00
1.47166622e+00,3.01593337e-02,3.21239512e-03,1.00420702e+00
1.49182630e+00,2.97455844e-02,-4.35509682e-02,1.01575756e+00
1.51198626e+00,2.12407261e-02,-8.37849304e-02,1.00642240e+00
1.53214622e+00,1.98002625e-02,1.29649194e-03,9.66805339e-01
1.55230629e+00,2.56693810e-02,6.35556802e-02,1.00837815e+00
1.57246530e+00,3.53541933e-02,2.57740710e-02,1.04762852e+00
1.59262526e+00,2.66041495e-02,2.82264259e-02,9.99363780e-01
1.61278522e+00,2.75542419e-02,3.94766107e-02,9.55315888e-01
