Vibration iOSApp file: VibrationDatafeetb-3.csv
Source,Internal Accelerometer
Date and Time,2022-05-04 at 16:15:24
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322216, Longitude
36.297380, Latitude
0.000000, Speed (m/s)
Frequency Data State, Acceleration
Time,X,Y,Z
0.00000000e+00,2.29110494e-02,8.62290524e-03,9.98951256e-01
2.01580003e-02,2.57919747e-02,9.20534041e-03,9.97912347e-01
4.03160006e-02,2.11641062e-02,1.10139521e-02,1.00753772e+00
6.04738332e-02,2.16851234e-02,1.16730230e-02,9.97652590e-01
8.06318298e-02,1.94937810e-02,1.24393841e-02,9.92381513e-01
1.00789830e-01,1.11881364e-02,1.08146984e-02,1.01183105e+00
1.20947830e-01,1.38392001e-02,4.65315441e-03,1.00031102e+00
1.41104832e-01,1.58773009e-02,-5.21757873e-03,9.98859584e-01
1.61262840e-01,1.52030420e-02,3.27370386e-03,1.00290835e+00
1.81420833e-01,1.88348461e-02,1.85396206e-02,1.00028050e+00
2.01578841e-01,1.96929947e-02,2.00876705e-02,1.00095272e+00
2.21736833e-01,1.80686433e-02,1.25773298e-02,9.95834470e-01
2.41894826e-01,1.31496172e-02,8.69954191e-03,1.00788915e+00
2.62052834e-01,1.90493837e-02,5.74138714e-03,1.00260282e+00
2.82210827e-01,2.21601706e-02,2.41537928e-03,9.97453988e-01
3.02368820e-01,1.94171611e-02,3.41164903e-03,1.00486410e+00
3.22526842e-01,2.21754946e-02,1.04468456e-02,1.00154865e+00
3.42684835e-01,2.15165596e-02,1.43859424e-02,1.00020409e+00
3.62842828e-01,1.69040132e-02,1.30831283e-02,9.98752654e-01
3.83000821e-01,1.35633666e-02,7.05952849e-03,1.00533772e+00
4.03158844e-01,1.47739686e-02,6.52307551e-03,1.00121248e+00
4.23315823e-01,1.63829960e-02,1.09066619e-02,9.98477638e-01
4.43473846e-01,1.83138289e-02,8.08645226e-03,1.00182366e+00
4.63631839e-01,2.14399379e-02,3.41164903e-03,1.00194585e+00
4.83789831e-01,1.76089220e-02,8.74552317e-03,1.00110555e+00
5.03947854e-01,1.70572549e-02,1.51063213e-02,9.93894100e-01
5.24105847e-01,1.65362358e-02,1.73747502e-02,1.00958514e+00
5.44263840e-01,1.76548939e-02,1.14584416e-02,9.99837399e-01
5.64421833e-01,2.21908186e-02,3.01314122e-03,9.97331738e-01
5.84579825e-01,2.34320685e-02,3.24304961e-03,1.00518489e+00
6.04737818e-01,2.10568365e-02,8.34701583e-03,1.00037217e+00
6.24895811e-01,1.39771169e-02,4.57651820e-03,1.00465012e+00
6.45053804e-01,1.59232728e-02,8.96010455e-03,9.98279035e-01
6.65211856e-01,1.61378104e-02,1.40640698e-02,1.00186944e+00
6.85369849e-01,1.44981351e-02,9.06739477e-03,1.01089907e+00
7.05527842e-01,2.21295226e-02,7.04420125e-03,9.89998102e-01
7.25684822e-01,1.93405412e-02,1.44165969e-02,1.00336671e+00
7.45842814e-01,1.86509583e-02,1.67463347e-02,1.00287783e+00
7.66000807e-01,1.90034118e-02,8.11710674e-03,9.98722076e-01
