Vibration iOSApp file: VibrationDatag500-2.csv
Source,Internal Gyroscope
Date and Time,2022-05-01 at 14:40:48
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322230, Longitude
36.297386, Latitude
0.000000, Speed (m/s)
Frequency Data State, Velocity
Time,Alpha,Beta,Gamma
0.00000000e+00,8.84409156e-03,4.79502138e-03,-1.67193252e-03
2.01580003e-02,2.12253933e-03,3.44453263e-03,-3.95692466e-03
4.03160006e-02,3.77689512e-03,3.66903702e-03,-7.47096585e-03
6.04740009e-02,6.72900910e-03,4.04134672e-03,-6.56495849e-03
8.06320012e-02,8.31039436e-03,3.35052283e-03,-3.97077296e-03
1.00791000e-01,6.66402793e-03,4.47544223e-03,-4.10233345e-03
1.20949000e-01,7.30957836e-03,5.32046333e-03,-4.12576925e-03
1.41106993e-01,5.00141643e-03,3.09379422e-03,-7.37988576e-03
1.61265001e-01,7.46537326e-03,3.94707080e-03,-5.90502704e-03
1.81424007e-01,6.57933950e-03,3.93695105e-03,-5.26054204e-03
2.01582000e-01,5.85948676e-03,4.68822895e-03,-3.22242500e-03
2.21740007e-01,6.22433983e-03,5.65442350e-03,-4.69728326e-03
2.41898000e-01,8.83050915e-03,6.65071234e-03,-3.69114126e-03
2.62055993e-01,7.51623930e-03,4.51911800e-03,-7.48774363e-03
2.82214999e-01,6.74658595e-03,4.55160858e-03,-4.82165301e-03
3.02372992e-01,3.79047706e-03,6.00116700e-03,-6.84192730e-03
3.22531015e-01,5.80089726e-03,1.32838474e-03,-1.93744968e-03
3.42689008e-01,4.47970303e-03,5.00887353e-03,-3.18407547e-03
3.62848014e-01,4.67304885e-03,7.18361046e-03,-5.11753047e-03
3.83006006e-01,6.00995542e-03,2.77581275e-03,-3.98328993e-03
4.03163999e-01,4.78330348e-03,3.29486281e-03,-4.77717817e-03
4.23321992e-01,-3.53401469e-04,4.95454483e-03,-3.06183635e-03
4.43480015e-01,3.37715447e-03,5.79850050e-03,-3.50764953e-03
4.63638991e-01,4.63629700e-03,5.56600653e-03,-6.77960925e-03
4.83797014e-01,5.80888707e-03,7.15085398e-03,-7.15937605e-03
5.03955007e-01,8.37217923e-03,3.01895943e-03,-5.25042182e-03
5.24112999e-01,5.33111580e-03,4.66239592e-03,-7.20198639e-03
5.44272006e-01,7.44220382e-03,3.59739806e-03,-5.14496071e-03
5.64429998e-01,8.02650116e-03,2.08525523e-03,-2.99179507e-03
5.84587991e-01,3.78355291e-03,4.49355179e-03,-4.47783899e-03
6.04745984e-01,7.85126537e-03,6.18119678e-03,-6.18226221e-03
6.24903977e-01,5.30208740e-03,5.20621380e-03,-2.72521283e-03
6.45062983e-01,2.37181131e-03,2.52680713e-03,-4.34255041e-03
6.65220976e-01,6.81423023e-03,7.35165598e-03,-4.02669935e-03
6.85379028e-01,8.72984156e-03,4.45360411e-03,-4.74894885e-03
7.05537021e-01,6.75351033e-03,6.74392283e-03,-5.79663645e-03
7.25696027e-01,8.29148572e-03,7.08507374e-03,-6.57214876e-03
7.45854020e-01,8.81026965e-03,3.91005306e-03,-5.89863537e-03
7.66012013e-01,7.42063206e-03,6.58945926e-03,-3.09326150e-03
7.86170006e-01,6.75963564e-03,4.80620656e-03,-4.82298480e-03
8.06327999e-01,4.92738048e-03,7.61131430e-03,-1.84237480e-03
8.26487005e-01,6.16282085e-03,4.26159054e-03,-5.71114896e-03
8.46644938e-01,8.78204033e-03,5.68904448e-03,-3.50791565e-03
8.66802931e-01,7.50372279e-03,3.48394737e-03,-9.43398196e-03
8.86960924e-01,5.35774743e-03,3.53508000e-03,-5.35561703e-03
9.07119930e-01,8.56286194e-03,5.34736132e-03,-3.28341126e-03
9.27277923e-01,8.45606904e-03,4.99848695e-03,-4.20220196e-03
9.47435915e-01,7.23580876e-03,5.68984356e-03,-6.22354122e-03
9.67593908e-01,7.52236461e-03,3.87543207e-03,-3.93961417e-03
9.87751901e-01,7.59586785e-03,4.70207725e-03,-5.02511859e-03
1.00791097e+00,4.22963221e-03,4.34148498e-03,-3.81231518e-03
1.02806890e+00,4.51911800e-03,4.93750069e-03,-5.13244420e-03
1.04822695e+00,7.79027864e-03,3.55585269e-03,-7.78575148e-03
1.06838489e+00,2.93027610e-03,4.11564903e-03,-3.20937531e-03
1.08854389e+00,7.90053327e-03,5.28344512e-03,-4.27650427e-03
1.10870194e+00,6.15829369e-03,1.82826002e-03,-5.46400761e-03
1.12885988e+00,6.33512763e-03,4.89542261e-03,-5.31886518e-03
1.14901793e+00,7.16709904e-03,3.55984736e-03,-6.02779863e-03
1.16917694e+00,7.39692990e-03,6.44032238e-03,-3.34945763e-03
1.18933487e+00,4.43416322e-03,5.77746145e-03,-4.43176646e-03
1.20949292e+00,6.60490571e-03,8.97245575e-03,-2.97421822e-03
1.22965097e+00,5.70608908e-03,3.45918001e-03,-6.67228363e-03
1.24980891e+00,7.42009934e-03,3.42802098e-03,-5.29329898e-03
1.26996791e+00,6.56549120e-03,5.05308202e-03,-1.90176337e-03
1.29012597e+00,5.65921748e-03,9.76314826e-04,-3.66184651e-03
1.31028390e+00,6.62780879e-03,4.17663530e-03,-4.08129441e-03
1.33044195e+00,6.07040944e-03,5.76494494e-03,-2.69804848e-03
1.35060096e+00,7.48215104e-03,4.31991369e-03,-8.20786227e-03
1.37075889e+00,7.40891416e-03,6.82701357e-03,-6.13645557e-03
1.39091694e+00,3.90792266e-03,2.03412236e-03,-5.87280281e-03
1.41107488e+00,5.68718044e-03,2.63280096e-03,-2.66928645e-03
1.43123293e+00,5.34549681e-03,3.87117104e-03,-1.25541410e-03
1.45139194e+00,7.38334795e-03,4.12976369e-03,-3.99926910e-03
1.47154987e+00,7.15351710e-03,3.38860624e-03,-6.06747996e-03
1.49170792e+00,5.60648646e-03,4.05998901e-03,-6.42700680e-03
1.51186597e+00,6.79319119e-03,6.55377330e-03,-4.61339392e-03
1.53202486e+00,7.87842926e-03,5.85682364e-03,-2.81203189e-03
1.55218291e+00,5.34176826e-03,7.63261970e-03,-4.16758098e-03
1.57234097e+00,5.40808123e-03,7.98176043e-03,-7.85392802e-03
1.59249890e+00,8.30453541e-03,5.16573340e-03,-6.23019878e-03
1.61265790e+00,4.50100843e-03,3.21763125e-03,-2.87967618e-03
1.63281596e+00,4.59262123e-03,1.74303888e-03,-8.68723146e-04
1.65297389e+00,6.98440615e-03,2.15423107e-03,-2.24584364e-03
1.67313194e+00,6.59372052e-03,6.25177054e-03,-3.25518171e-03
1.69328988e+00,7.40625104e-03,6.04084833e-03,-7.45898159e-03
1.71344888e+00,6.75271126e-03,4.81632678e-03,-3.36383865e-03
1.73360693e+00,5.49809588e-03,4.74575302e-03,-4.65440657e-03
1.75376487e+00,7.26989703e-03,6.22061174e-03,-1.75635470e-03
1.77392292e+00,6.71649212e-03,6.08345866e-03,-6.42780541e-03
1.79408193e+00,4.58516460e-03,4.82085394e-03,-5.34096966e-03
1.81423986e+00,5.35987783e-03,3.00298049e-03,-6.86323224e-03
1.83439791e+00,5.74710174e-03,9.69710201e-03,-4.54947818e-03
1.85455608e+00,5.46027906e-03,6.84938394e-03,-4.99742152e-03
1.87471509e+00,6.40570140e-03,6.15429878e-03,-4.49781260e-03
1.89487314e+00,5.56494156e-03,5.89890173e-03,-5.25095453e-03
1.91503108e+00,5.74017735e-03,5.39290113e-03,-5.35242120e-03
1.93518913e+00,7.79773574e-03,4.16385243e-03,-3.66584118e-03
1.95534718e+00,6.80490909e-03,5.02698263e-03,-4.32390813e-03
1.97550607e+00,7.15831062e-03,4.18489147e-03,-5.41154353e-04
1.99566412e+00,5.21846395e-03,2.33878801e-03,-4.77558048e-03
2.01582217e+00,4.35426831e-03,2.80643906e-03,-4.89275949e-03
2.03598022e+00,6.77241851e-03,3.73748015e-03,-4.14174795e-03
2.05613923e+00,5.31194126e-03,5.07225655e-03,-4.49648127e-03
2.07629704e+00,5.31806657e-03,3.07302154e-03,-3.49380099e-03
2.09645510e+00,8.57085083e-03,5.73698152e-03,-7.93755148e-03
2.11661315e+00,4.94469097e-03,2.97554978e-03,-6.14045048e-03
2.13677216e+00,4.46745288e-03,5.13697136e-03,-5.08717028e-03
2.15693021e+00,5.69943106e-03,5.19396318e-03,-4.15825984e-03
2.17708802e+00,4.05173330e-03,2.81176553e-03,-5.37718832e-03
2.19724607e+00,3.97902913e-03,5.31806657e-03,-5.67306578e-03
2.21740413e+00,2.73080543e-03,6.18732208e-03,-5.96148614e-03
2.23756313e+00,7.66111538e-03,5.05148387e-03,-5.66614140e-03
2.25772119e+00,9.56713967e-03,3.56277684e-03,-4.21498483e-03
2.27787924e+00,8.52930639e-03,8.91652983e-03,-1.11559813e-03
2.29803705e+00,4.22350736e-03,8.78070854e-03,-4.95241443e-03
2.31819606e+00,3.95372882e-03,2.85171298e-03,-6.27733674e-03
2.33835411e+00,5.00407955e-03,5.89011330e-03,-4.18142928e-03
2.35851216e+00,1.03037700e-03,2.87621398e-03,-3.53641156e-03
2.37867022e+00,4.23176307e-03,7.46856909e-03,-5.74523723e-03
2.39882922e+00,6.51196158e-03,5.08823572e-03,-4.31938097e-03
2.41898704e+00,5.01206936e-03,2.70497263e-03,-4.35693143e-03
2.43914509e+00,8.74448940e-03,6.83447020e-03,-6.06961036e-03
2.45930314e+00,6.88746711e-03,7.08853593e-03,-4.78756474e-03
2.47946215e+00,5.75828692e-03,5.95349679e-03,-4.44694655e-03
2.49962020e+00,5.17185871e-03,8.42464343e-03,-3.20511428e-03
2.51977801e+00,3.01230140e-03,5.21926302e-03,-3.83388670e-03
2.53993607e+00,4.30872850e-03,5.82619756e-03,-5.73778059e-03
