Vibration iOSApp file: VibrationDatag500-1.csv
Source,Internal Gyroscope
Date and Time,2022-05-01 at 14:39:48
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322230, Longitude
36.297386, Latitude
0.000000, Speed (m/s)
Frequency Data State, Velocity
Time,Alpha,Beta,Gamma
0.00000000e+00,8.67098570e-03,3.07035842e-03,-5.09755639e-03
2.01580003e-02,8.53809435e-03,3.45891365e-03,-2.97048991e-03
4.03160006e-02,3.89753631e-03,5.07678417e-03,-4.66239592e-03
6.04740009e-02,5.73378569e-03,6.34817686e-03,-6.74871635e-03
8.06329995e-02,2.68446631e-03,3.40059027e-03,-7.18680630e-03
1.00791000e-01,5.60861733e-03,4.75107925e-03,-5.38171595e-03
1.20949000e-01,4.66239592e-03,4.50313883e-03,-2.27939966e-03
1.41106993e-01,5.27918432e-03,6.99612405e-03,-8.42837244e-03
1.61265001e-01,7.94847030e-03,5.94896916e-03,-5.29755978e-03
1.81423128e-01,6.09411160e-03,1.78751373e-03,-5.30927768e-03
2.01582119e-01,5.83924679e-03,4.66452679e-03,-6.16841344e-03
2.21740127e-01,3.01656243e-03,7.73222186e-03,-5.81687642e-03
2.41898119e-01,5.53724449e-03,4.22350736e-03,-4.22670273e-03
2.62056112e-01,3.71084874e-03,8.37058201e-03,-3.23014800e-03
2.82214135e-01,4.87411721e-03,6.03232626e-03,-4.83869715e-03
3.02372128e-01,5.74976485e-03,3.44879366e-03,-5.19955577e-03
3.22531134e-01,7.47469440e-03,5.62033523e-03,-4.07410366e-03
3.42689127e-01,1.06608998e-02,1.27165939e-03,-6.38785819e-03
3.62847120e-01,9.87420231e-03,6.36442238e-03,-6.38226559e-03
3.83005112e-01,8.43476411e-03,5.38331363e-03,-5.53564681e-03
4.03163135e-01,6.63153734e-03,2.19258061e-03,-4.53989068e-03
4.23321128e-01,4.74069314e-03,8.92585050e-03,-6.99772220e-03
4.43480134e-01,2.93054245e-03,7.01316819e-03,-4.39767772e-03
4.63638127e-01,6.71169860e-03,2.34038592e-03,-4.92658187e-03
4.83796120e-01,2.13399087e-03,4.02270490e-03,-1.59390189e-03
5.03954113e-01,8.32184590e-03,4.09940397e-03,-5.13137877e-03
5.24112105e-01,4.41924948e-03,3.76411178e-03,-6.46695402e-03
5.44270098e-01,6.87761325e-03,4.25573159e-03,-4.96732816e-03
5.64429104e-01,7.99480919e-03,6.52580988e-03,-4.08156076e-03
5.84587097e-01,8.47497769e-03,4.60939901e-03,-7.72343343e-03
