Vibration iOSApp file: VibrationDatag500b-1.csv
Source,Internal Gyroscope
Date and Time,2022-05-01 at 14:43:35
3,  Channels
2048, Points
50.000000, Sample Rate (Hz)
-88.322191, Longitude
36.297374, Latitude
0.045677, Speed (m/s)
Frequency Data State, Velocity
Time,Alpha,Beta,Gamma
0.00000000e+00,9.08856932e-03,3.35505023e-03,-2.45436933e-03
2.01590005e-02,8.79801903e-03,5.23311133e-03,-3.42455879e-03
4.03180011e-02,4.28129779e-03,8.51812027e-03,-8.09015054e-03
6.04760014e-02,5.03443973e-03,4.48795920e-03,-3.83069087e-03
8.06349963e-02,7.09013361e-03,6.16308721e-03,-5.40089048e-03
1.00792997e-01,2.99951830e-03,5.81075111e-03,-3.87356780e-03
1.20952003e-01,5.66188060e-03,3.28793866e-03,-6.29438134e-03
1.41111001e-01,8.55034497e-03,2.87594763e-03,-5.13777044e-03
1.61268994e-01,5.70768677e-03,3.07089114e-03,-3.80911934e-03
1.81428000e-01,5.98145975e-03,3.88981309e-03,-4.08076169e-03
2.01587006e-01,7.94420950e-03,5.93805034e-03,-4.64828126e-03
2.21744999e-01,4.78889607e-03,4.96466504e-03,-4.54148836e-03
2.41904005e-01,3.20538064e-03,4.82351752e-03,-6.84592174e-03
2.62062997e-01,6.83180708e-03,6.31728442e-03,-4.02989518e-03
2.82220989e-01,6.66163117e-03,4.24454594e-03,-1.55235664e-03
3.02379996e-01,7.03846850e-03,6.55377330e-03,-5.31220715e-03
3.22539002e-01,6.36149291e-03,3.50338849e-03,-4.43735905e-03
3.42696995e-01,9.79936775e-03,4.30207048e-03,-5.39503153e-03
3.62856001e-01,1.15274927e-02,7.64380489e-03,-7.96471536e-03
3.83013994e-01,8.46778695e-03,4.14973777e-03,-3.75106232e-03
4.03173000e-01,6.58013858e-03,3.89114465e-03,-2.87328451e-03
4.23332006e-01,8.29574652e-03,6.90957159e-03,-2.69645057e-03
4.43489999e-01,4.57184855e-03,1.62506092e-03,-3.76943825e-03
4.63649005e-01,7.31170876e-03,4.78596659e-03,-2.90044863e-03
4.83808011e-01,7.98921660e-03,7.99081475e-03,-5.85069833e-03
5.03965974e-01,4.89302585e-03,5.23231272e-03,-6.67814258e-03
5.24124980e-01,6.49598241e-03,5.88079216e-03,-3.98062682e-03
5.44283986e-01,8.64515360e-03,4.02909657e-03,-5.80995204e-03
5.64441979e-01,6.32074662e-03,6.51542377e-03,-9.38551221e-03
5.84600985e-01,8.75567459e-03,2.30922690e-03,-7.62010273e-03
6.04759991e-01,5.63737936e-03,5.57745807e-03,-3.87250260e-03
6.24917984e-01,6.40357099e-03,2.04983517e-03,-2.24903948e-03
6.45076990e-01,9.38950665e-03,3.17102578e-03,-6.78839767e-03
6.65235996e-01,5.14602615e-03,3.96784348e-03,-5.48664434e-03
6.85393989e-01,5.50528662e-03,4.99156257e-03,-4.72551305e-03
7.05552995e-01,5.63817844e-03,3.88075830e-03,-6.13325974e-03
7.25712001e-01,5.25148725e-03,7.65099563e-03,-5.64696686e-03
7.45869994e-01,7.81877432e-03,1.96594559e-03,-5.57053415e-03
7.66029000e-01,8.73410329e-03,6.15509786e-03,-1.54143758e-03
7.86188006e-01,5.14016720e-03,5.50288986e-03,-4.83443635e-03
8.06345999e-01,2.69405381e-03,5.51940128e-03,-6.16521807e-03
8.26505005e-01,5.01340069e-03,2.65250844e-03,-5.77746145e-03
8.46664011e-01,4.43123374e-03,6.08319230e-03,-3.88528570e-03
8.66822004e-01,5.97719848e-03,5.40541811e-03,-1.74676732e-03
8.86981010e-01,8.84275977e-03,5.23151364e-03,-5.72845945e-03
9.07140017e-01,5.21606719e-03,7.49386894e-03,-5.48637798e-03
9.27298009e-01,4.77371644e-03,2.48366408e-03,-7.03873485e-03
9.47457612e-01,5.39210206e-03,3.27915023e-03,-3.97423515e-03
9.67616618e-01,5.85522596e-03,2.90311198e-03,-5.42752212e-03
9.87774611e-01,9.01826192e-03,3.90312891e-03,-4.07809857e-03
1.00793362e+00,-3.57928860e-04,8.31225794e-03,-4.90900502e-03
1.02809262e+00,1.50947971e-03,7.86644500e-03,-7.70612294e-03
1.04825068e+00,6.48559630e-03,4.35906183e-03,-5.47013292e-03
1.06840968e+00,6.07706746e-03,5.35535067e-03,-3.81950568e-03
1.08856857e+00,1.02592958e-02,5.12125855e-03,-3.98994796e-03
1.10872662e+00,1.12318816e-02,4.94895224e-03,-2.83520133e-03
1.12888563e+00,7.51757110e-03,4.53163497e-03,-4.69808234e-03
1.14904463e+00,9.65955108e-03,1.39070267e-03,-4.81020147e-03
1.16920257e+00,7.11676525e-03,4.23762202e-03,-6.85364520e-03
1.18936157e+00,6.51489105e-03,5.22938324e-03,-7.82623142e-03
1.20952058e+00,4.91699437e-03,2.93906452e-03,-4.49701399e-03
1.22967863e+00,9.01453383e-03,4.61046444e-03,-7.62249948e-03
1.24983764e+00,4.24694316e-03,4.81153326e-03,-5.49303601e-03
1.26999664e+00,5.54044032e-03,4.52258019e-03,-2.99312663e-03
